Video_Name,Video_Clip_Name,Subtitle,Split,Signer_ID,subtitle_clean,word_count,has_conv_kw
Video_1,video_1_0,hello .,train,1,hello,1,True
Video_1,video_1_1,look .,train,1,look,1,True
Video_1,video_1_2,look .,train,1,look,1,True
Video_1,video_1_3,i am sally .,train,1,i am sally,3,True
Video_1,video_1_4,i am possum .,test,2,i am possum,3,True
Video_1,video_1_5,hello .,train,1,hello,1,True
Video_1,video_1_6,hello .,train,1,hello,1,True
Video_1,video_1_9,i could not say hello properly .,train,1,i could not say hello properly,6,True
Video_1,video_1_10,now they are nice and clean hello everyone .,train,1,now they are nice and clean hello everyone,8,True
Video_1,video_1_15,i will go and see .,dev,1,i will go and see,5,True
Video_1,video_1_16,come on let us have a look .,train,1,come on let us have a look,7,True
Video_1,video_1_17,where is possum .,train,1,where is possum,3,True
Video_1,video_1_20,sally what does stuck mean .,train,2,sally what does stuck mean,5,True
Video_1,video_1_29,you know i love sticky honey .,train,1,you know i love sticky honey,6,True
Video_1,video_1_37,well come on then .,train,1,well come on then,4,True
Video_1,video_1_39,what is it .,train,2,what is it,3,True
Video_1,video_1_42,yeah come on copy us kids .,train,2,yeah come on copy us kids,6,True
Video_1,video_1_45,we need four things .,train,1,we need four things,4,True
Video_1,video_1_52,no that is too small .,train,1,no that is too small,5,True
Video_1,video_1_54,yes that is right .,train,1,yes that is right,4,True
Video_1,video_1_57,now we need a cup of water .,train,1,now we need a cup of water,7,True
Video_1,video_1_64,possum are you stuck .,train,1,possum are you stuck,4,True
Video_1,video_1_67,that glue looks ready possum .,train,1,that glue looks ready possum,5,True
Video_1,video_1_68,now we need to blow up a balloon .,train,1,now we need to blow up a balloon,8,True
Video_1,video_1_69,ok that is enough .,train,1,ok that is enough,4,True
Video_1,video_1_70,now place it in the bowl .,train,1,now place it in the bowl,6,True
Video_1,video_1_71,what we do is we get our paper .,train,1,what we do is we get our paper,8,True
Video_1,video_1_73,that is looking good .,train,1,that is looking good,4,True
Video_1,video_1_75,yeah let us watch .,train,2,yeah let us watch,4,True
Video_1,video_1_76,those children make great papiermâché balloons .,train,2,those children make great papiermch balloons,6,True
Video_1,video_1_77,yes they were beautiful were not they possum .,train,1,yes they were beautiful were not they possum,8,True
Video_1,video_1_82,yeah good idea come on let us go .,dev,2,yeah good idea come on let us go,8,True
Video_1,video_1_83,hello .,train,1,hello,1,True
Video_1,video_1_85,possum your ball looks great .,train,1,possum your ball looks great,5,True
Video_1,video_1_87,hey sally have a look at my door .,train,2,hey sally have a look at my door,8,True
Video_1,video_1_92,sally what does it say .,train,2,sally what does it say,5,True
Video_1,video_1_97,thanks for watching .,train,2,thanks for watching,3,True
Video_1,video_1_98,see you next time .,train,1,see you next time,4,True
Video_1,video_1_99,bye bye .,train,1,bye bye,2,True
Video_2,video_2_0,hello .,train,1,hello,1,True
Video_2,video_2_1,look .,train,1,look,1,True
Video_2,video_2_2,look .,train,1,look,1,True
Video_2,video_2_3,i am sally .,train,1,i am sally,3,True
Video_2,video_2_4,i am possum .,test,2,i am possum,3,True
Video_2,video_2_5,hello .,train,1,hello,1,True
Video_2,video_2_6,hello everyone .,train,1,hello everyone,2,True
Video_2,video_2_8,i am feeling very hot .,test,1,i am feeling very hot,5,True
Video_2,video_2_9,the sun it is shining down on me .,train,1,the sun it is shining down on me,8,True
Video_2,video_2_18,possum what are you doing there .,test,1,possum what are you doing there,6,True
Video_2,video_2_19,hello sally i have got my shade .,train,2,hello sally i have got my shade,7,True
Video_2,video_2_21,i am going to stay here all day .,train,2,i am going to stay here all day,8,True
Video_2,video_2_23,no you can not do that .,test,1,no you can not do that,6,True
Video_2,video_2_24,there is so many things to do .,train,1,there is so many things to do,7,True
Video_2,video_2_26,i know you love to sleep possum .,train,1,i know you love to sleep possum,7,True
Video_2,video_2_27,but you can not do that today .,test,1,but you can not do that today,7,True
Video_2,video_2_29,like what .,train,2,like what,2,True
Video_2,video_2_31,yeah let us watch .,train,2,yeah let us watch,4,True
Video_2,video_2_34,i love swimming it is great .,train,5,i love swimming it is great,6,True
Video_2,video_2_36,does not the beach look amazing .,train,1,does not the beach look amazing,6,True
Video_2,video_2_37,we must go .,train,1,we must go,3,True
Video_2,video_2_38,sally what is the beach .,train,2,sally what is the beach,5,True
Video_2,video_2_41,people enjoy going to the beach .,train,1,people enjoy going to the beach,6,True
Video_2,video_2_43,possums do not eat fish .,train,2,possums do not eat fish,5,True
Video_2,video_2_44,well that is okay possum .,train,1,well that is okay possum,5,True
Video_2,video_2_46,we do not need to eat any fish .,train,1,we do not need to eat any fish,8,True
Video_2,video_2_47,great well what do i need to bring .,train,2,great well what do i need to bring,8,True
Video_2,video_2_49,well what does it say .,train,2,well what does it say,5,True
Video_2,video_2_51,wait wait hang on .,train,1,wait wait hang on,4,True
Video_2,video_2_52,good good .,train,1,good good,2,True
Video_2,video_2_53,right now we need a towel .,train,1,right now we need a towel,6,True
Video_2,video_2_54,wait wait i am not finished .,train,1,wait wait i am not finished,6,True
Video_2,video_2_59,there is one more thing we need though .,train,1,there is one more thing we need though,8,True
Video_2,video_2_61,possum what is the matter .,train,1,possum what is the matter,5,True
Video_2,video_2_63,what are we going to do .,train,2,what are we going to do,6,True
Video_2,video_2_64,what do possums like to do .,train,1,what do possums like to do,6,True
Video_2,video_2_71,yes but what is it .,train,2,yes but what is it,5,True
Video_2,video_2_72,what do you think it could be .,train,1,what do you think it could be,7,True
Video_2,video_2_74,what is it .,train,1,what is it,3,True
Video_2,video_2_76,sally what is ice cream .,train,2,sally what is ice cream,5,True
Video_2,video_2_82,can you get them for me please .,dev,1,can you get them for me please,7,True
Video_2,video_2_83,me yes okay .,train,1,me yes okay,3,True
Video_2,video_2_84,can you put those in the bowl please .,train,1,can you put those in the bowl please,8,True
Video_2,video_2_86,now can you put them in the blender .,train,1,now can you put them in the blender,8,True
Video_2,video_2_88,i am thinking we can add some flavors .,train,1,i am thinking we can add some flavors,8,True
Video_2,video_2_90,yep let us look .,train,2,yep let us look,4,True
Video_2,video_2_94,can you put some sultanas in please possum .,train,1,can you put some sultanas in please possum,8,True
Video_2,video_2_98,our ice cream is ready now .,dev,1,our ice cream is ready now,6,True
Video_2,video_2_100,yes i have got some ice cream cones .,train,1,yes i have got some ice cream cones,8,True
Video_2,video_2_101,can you get two out for me please .,train,1,can you get two out for me please,8,True
Video_2,video_2_103,do not they look delicious .,train,1,do not they look delicious,5,True
Video_2,video_2_104,does it taste good .,train,1,does it taste good,4,True
Video_2,video_2_106,hey let us go outside .,train,2,hey let us go outside,5,True
Video_2,video_2_107,much better now .,train,2,much better now,3,True
Video_2,video_2_108,it is not as hot anymore .,train,2,it is not as hot anymore,6,True
Video_2,video_2_109,yes that is right .,train,1,yes that is right,4,True
Video_2,video_2_110,it is a lot cooler now .,train,1,it is a lot cooler now,6,True
Video_2,video_2_113,sally do you remember what we did today .,train,2,sally do you remember what we did today,8,True
Video_2,video_2_118,yes .,train,1,yes,1,True
Video_2,video_2_121,possum what are they for .,train,1,possum what are they for,5,True
Video_2,video_2_128,thanks for watching .,train,2,thanks for watching,3,True
Video_2,video_2_129,see you next time .,train,1,see you next time,4,True
Video_2,video_2_130,bye bye .,train,2,bye bye,2,True
Video_3,video_3_0,hello .,train,1,hello,1,True
Video_3,video_3_1,look .,train,1,look,1,True
Video_3,video_3_2,look .,train,1,look,1,True
Video_3,video_3_3,i am sally .,train,1,i am sally,3,True
Video_3,video_3_4,i am possum .,train,2,i am possum,3,True
Video_3,video_3_5,hello .,train,1,hello,1,True
Video_3,video_3_6,hello everyone .,train,1,hello everyone,2,True
Video_3,video_3_7,look possum is painting .,train,1,look possum is painting,4,True
Video_3,video_3_8,look at all the bright colors .,train,1,look at all the bright colors,6,True
Video_3,video_3_9,i wonder what that is .,dev,1,i wonder what that is,5,True
Video_3,video_3_10,there is another one .,train,1,there is another one,4,True
Video_3,video_3_11,what is going on .,train,1,what is going on,4,True
Video_3,video_3_12,stop why are you touching it .,train,1,stop why are you touching it,6,True
Video_3,video_3_15,the paint is not dry yet .,train,1,the paint is not dry yet,6,True
Video_3,video_3_22,good idea let us go .,dev,2,good idea let us go,5,True
Video_3,video_3_23,no look at my garden .,train,1,no look at my garden,5,True
Video_3,video_3_24,look at the plants they are wilted .,train,1,look at the plants they are wilted,7,True
Video_3,video_3_30,i had forgotten to water them yesterday .,train,1,i had forgotten to water them yesterday,7,True
Video_3,video_3_32,have a look possum .,train,1,have a look possum,4,True
Video_3,video_3_34,can you please water them for me possum .,train,1,can you please water them for me possum,8,True
Video_3,video_3_36,thank you possum .,test,1,thank you possum,3,True
Video_3,video_3_37,now they are not dry anymore .,train,1,now they are not dry anymore,6,True
Video_3,video_3_43,shall we watch .,dev,2,shall we watch,3,True
Video_3,video_3_44,yeah let us watch .,train,2,yeah let us watch,4,True
Video_3,video_3_46,farms look like so much fun .,train,2,farms look like so much fun,6,True
Video_3,video_3_49,but now it is dry .,test,2,but now it is dry,5,True
Video_3,video_3_52,but now my mouth it is dry .,train,2,but now my mouth it is dry,7,True
Video_3,video_3_54,well how do we fix that .,dev,1,well how do we fix that,6,True
Video_3,video_3_55,i know water .,train,2,i know water,3,True
Video_3,video_3_59,okay see you later .,train,2,okay see you later,4,True
Video_3,video_3_63,i forgot .,dev,2,i forgot,2,True
Video_3,video_3_65,sally are you all dry now .,train,2,sally are you all dry now,6,True
Video_3,video_3_70,yes we do need a lemon .,train,1,yes we do need a lemon,6,True
Video_3,video_3_73,now we need to cut our lemon .,train,1,now we need to cut our lemon,7,True
Video_3,video_3_77,look at all the juice coming out .,train,1,look at all the juice coming out,7,True
Video_3,video_3_78,that is a good job possum .,test,1,that is a good job possum,6,True
Video_3,video_3_79,now try and use the juicer .,train,1,now try and use the juicer,6,True
Video_3,video_3_80,sally can i taste it now .,train,1,sally can i taste it now,6,True
Video_3,video_3_82,yes it is very strong tasting .,train,1,yes it is very strong tasting,6,True
Video_3,video_3_87,good now i will pour the hot water .,train,1,good now i will pour the hot water,8,True
Video_3,video_3_88,can you stir it up .,train,1,can you stir it up,5,True
Video_3,video_3_91,that is great .,train,1,that is great,3,True
Video_3,video_3_92,now we put in there .,train,1,now we put in there,5,True
Video_3,video_3_94,that looks great .,train,2,that looks great,3,True
Video_3,video_3_97,yes please .,train,1,yes please,2,True
Video_3,video_3_98,this is delicious .,dev,2,this is delicious,3,True
Video_3,video_3_99,sally my mouth is not dry anymore .,train,2,sally my mouth is not dry anymore,7,True
Video_3,video_3_100,it feels much better now .,dev,2,it feels much better now,5,True
Video_3,video_3_102,bye sally .,dev,2,bye sally,2,True
Video_3,video_3_104,what is he painting i wonder .,train,1,what is he painting i wonder,6,True
Video_3,video_3_110,you need to wait until it is dry .,train,2,you need to wait until it is dry,8,True
Video_3,video_3_111,it does not matter it does not matter .,train,1,it does not matter it does not matter,8,True
Video_3,video_3_115,sally what does it say .,test,2,sally what does it say,5,True
Video_3,video_3_119,okay .,train,2,okay,1,True
Video_3,video_3_121,no possum you can watch the paint dry .,train,1,no possum you can watch the paint dry,8,True
Video_3,video_3_124,thanks for watching .,train,2,thanks for watching,3,True
Video_3,video_3_125,see you next time .,train,1,see you next time,4,True
Video_3,video_3_126,bye bye .,train,2,bye bye,2,True
Video_4,video_4_0,hello .,train,1,hello,1,True
Video_4,video_4_1,look .,train,1,look,1,True
Video_4,video_4_2,look .,train,1,look,1,True
Video_4,video_4_3,i am sally .,train,1,i am sally,3,True
Video_4,video_4_4,i am possum .,train,2,i am possum,3,True
Video_4,video_4_5,hello .,train,1,hello,1,True
Video_4,video_4_7,i am so happy .,train,2,i am so happy,4,True
Video_4,video_4_8,yes i am feeling happy too possum .,test,1,yes i am feeling happy too possum,7,True
Video_4,video_4_11,hello everyone .,train,2,hello everyone,2,True
Video_4,video_4_12,sally you are so good to me .,dev,2,sally you are so good to me,7,True
Video_4,video_4_15,sally i think i need a pet .,train,2,sally i think i need a pet,7,True
Video_4,video_4_17,what kind of pet .,train,1,what kind of pet,4,True
Video_4,video_4_18,would you like something soft .,train,1,would you like something soft,5,True
Video_4,video_4_19,something soft .,train,1,something soft,2,True
Video_4,video_4_20,like what .,train,2,like what,2,True
Video_4,video_4_27,what about an echidna .,train,1,what about an echidna,4,True
Video_4,video_4_32,what about a fish in a fishbowl .,train,1,what about a fish in a fishbowl,7,True
Video_4,video_4_33,they are lovely to watch swim around .,train,1,they are lovely to watch swim around,7,True
Video_4,video_4_34,fish are nice to look at but .,train,2,fish are nice to look at but,7,True
Video_4,video_4_36,i can not play with a fish .,train,2,i can not play with a fish,7,True
Video_4,video_4_39,that sounds great sally what kind of colors .,train,2,that sounds great sally what kind of colors,8,True
Video_4,video_4_44,yeah let us have a look now .,train,2,yeah let us have a look now,7,True
Video_4,video_4_45,let us watch .,test,1,let us watch,3,True
Video_4,video_4_46,look the shark eats fish .,train,7,look the shark eats fish,5,True
Video_4,video_4_48,possum did not that look wonderful .,dev,1,possum did not that look wonderful,6,True
Video_4,video_4_50,it looked awesome .,train,2,it looked awesome,3,True
Video_4,video_4_53,yes they were were not they .,test,1,yes they were were not they,6,True
Video_4,video_4_55,it was not soft it was hard .,train,1,it was not soft it was hard,7,True
Video_4,video_4_62,what could we make .,train,2,what could we make,4,True
Video_4,video_4_64,yeah that sounds great .,train,2,yeah that sounds great,4,True
Video_4,video_4_66,what a great idea possum .,train,1,what a great idea possum,5,True
Video_4,video_4_69,yeah that is a great idea .,train,2,yeah that is a great idea,6,True
Video_4,video_4_71,sally look at all these things .,train,2,sally look at all these things,6,True
Video_4,video_4_72,look at all the beautiful colors .,test,2,look at all the beautiful colors,6,True
