clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.86) EVERYONE(0.57),HELLO,False
video_1_6_signer_HELLO_1,YES GREAT EVERYONE KNOW NS_POSSUM,YES(0.72) GREAT(0.61) EVERYONE(0.60) KNOW(0.58) NS_POSSUM(0.55),HELLO,False
video_1_9_signer_HELLO_1,GO YES PT_PRO1PL NS_POSSUM KNOW BYE OKAY,GO(0.64) YES(0.61) PT_PRO1PL(0.61) NS_POSSUM(0.59) KNOW(0.54) BYE(0.47) OKAY(0.46),HELLO,False
video_1_10_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.99) EVERYONE(0.93) HELLO(0.75),HELLO,False
video_1_83_signer_HELLO_1,HELLO BYE NS_POSSUM NS_SALLY,HELLO(0.94) BYE(0.82) NS_POSSUM(0.76) NS_SALLY(0.52),HELLO,False
video_2_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.97) BYE(0.93) HELLO(0.90) NS_POSSUM(0.47),HELLO,False
video_2_5_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.77),HELLO,False
video_2_6_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(1.00) BYE(0.94) EVERYONE(0.92) NS_POSSUM(0.57),HELLO,False
video_3_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.92) BYE(0.83) HELLO(0.82) NS_POSSUM(0.56),HELLO,False
video_3_5_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.65),HELLO,False
video_3_6_signer_HELLO_1,BYE HELLO EVERYONE NS_POSSUM,BYE(0.98) HELLO(0.97) EVERYONE(0.95) NS_POSSUM(0.75),HELLO,False
video_4_0_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.96) BYE(0.87) HELLO(0.85) NS_POSSUM(0.68),HELLO,False
video_4_5_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.78),HELLO,False
video_4_11_signer_HELLO_1,BYE READY GO PT_PRO1PL FINISH OK YES GOOD,BYE(0.85) READY(0.68) GO(0.65) PT_PRO1PL(0.65) FINISH(0.61) OK(0.52) YES(0.49) GOOD(0.47),HELLO,False
video_5_0_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.89) EVERYONE(0.86) HELLO(0.79),HELLO,False
video_5_5_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.96) EVERYONE(0.91) HELLO(0.90),HELLO,False
video_5_6_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.96) BYE(0.91),HELLO,False
video_5_7_signer_HELLO_1,HELLO EVERYONE BYE NS_POSSUM,HELLO(1.00) EVERYONE(0.96) BYE(0.93) NS_POSSUM(0.48),HELLO,False
video_5_17_signer_HELLO_1,BYE YES WATCH PT_PRO1PL EVERYONE GO,BYE(0.86) YES(0.66) WATCH(0.63) PT_PRO1PL(0.58) EVERYONE(0.53) GO(0.46),HELLO,False
video_6_0_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.99) HELLO(0.95) BYE(0.92) NS_POSSUM(0.62),HELLO,False
video_6_5_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.95) HELLO(0.92) EVERYONE(0.75),HELLO,False
video_6_6_signer_HELLO_1,EVERYONE BYE HELLO NS_POSSUM,EVERYONE(0.96) BYE(0.84) HELLO(0.80) NS_POSSUM(0.64),HELLO,False
video_6_12_signer_HELLO_1,HELLO BYE NS_POSSUM,HELLO(0.99) BYE(0.95) NS_POSSUM(0.49),HELLO,False
video_6_38_signer_HELLO_1,HELLO BYE NS_POSSUM NS_SALLY,HELLO(0.99) BYE(0.78) NS_POSSUM(0.68) NS_SALLY(0.51),HELLO,False
video_7_0_signer_HELLO_1,BYE EVERYONE HELLO NS_POSSUM,BYE(0.98) EVERYONE(0.94) HELLO(0.77) NS_POSSUM(0.45),HELLO,False
video_7_5_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.69),HELLO,False
video_7_6_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.98) BYE(0.98) HELLO(0.92),HELLO,False
video_7_18_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.97) HELLO(0.89) BYE(0.86) NS_POSSUM(0.67),HELLO,False
video_7_33_signer_HELLO_1,BYE YES HELLO NS_POSSUM LOOK PT_DEM3 GOOD,BYE(0.62) YES(0.59) HELLO(0.58) NS_POSSUM(0.58) LOOK(0.53) PT_DEM3(0.49) GOOD(0.47),HELLO,False
video_7_34_signer_HELLO_1,BYE HELLO LOOK,BYE(0.81) HELLO(0.73) LOOK(0.69),HELLO,False
video_1_43_signer_READY_1,YES NS_SALLY WATCH READY PT_PRO1PL GOOD GO WHAT NEXT LOOK OKAY,YES(0.77) NS_SALLY(0.73) WATCH(0.72) READY(0.63) PT_PRO1PL(0.59) GOOD(0.51) GO(0.50) WHAT(0.47) NEXT(0.47) LOOK(0.45) OKAY(0.45),READY,False
video_2_99_signer_READY_1,NS_SALLY LOOK YES PT_DEM3,NS_SALLY(0.87) LOOK(0.80) YES(0.61) PT_DEM3(0.48),READY,False
video_3_101_signer_READY_1,READY YES PT_PRO1PL NS_SALLY FINISH GOOD WHAT WATCH GO NEXT NOW,READY(0.74) YES(0.67) PT_PRO1PL(0.64) NS_SALLY(0.63) FINISH(0.61) GOOD(0.60) WHAT(0.60) WATCH(0.58) GO(0.51) NEXT(0.50) NOW(0.48),READY,False
video_7_60_signer_READY_1,YES WATCH NS_SALLY GOOD PT_PRO1PL WHAT LOOK READY,YES(0.80) WATCH(0.77) NS_SALLY(0.61) GOOD(0.55) PT_PRO1PL(0.51) WHAT(0.51) LOOK(0.49) READY(0.48),READY,False
video_7_104_signer_READY_1,GOOD YES GO READY FINISH PT_PRO1PL NOW LOOK PT_DEM3,GOOD(0.66) YES(0.63) GO(0.58) READY(0.56) FINISH(0.55) PT_PRO1PL(0.54) NOW(0.51) LOOK(0.50) PT_DEM3(0.49),READY,False
video_7_119_signer_READY_1,GOOD READY YES FINISH WHAT PT_PRO1PL NEXT PT_DEM3 LOOK,GOOD(0.77) READY(0.70) YES(0.66) FINISH(0.58) WHAT(0.57) PT_PRO1PL(0.55) NEXT(0.54) PT_DEM3(0.50) LOOK(0.45),READY,False
video_10_29_signer_READY_1,GOOD YES WHAT READY FINISH PT_DEM3 MAKE PT_PRO1PL,GOOD(0.72) YES(0.69) WHAT(0.62) READY(0.62) FINISH(0.61) PT_DEM3(0.50) MAKE(0.48) PT_PRO1PL(0.46),READY,False
video_10_95_signer_READY_1,NS_SALLY LOOK GREAT NS_POSSUM GO READY,NS_SALLY(0.76) LOOK(0.63) GREAT(0.56) NS_POSSUM(0.54) GO(0.52) READY(0.49),READY,False
video_11_70_signer_READY_1,GOOD READY NOW ALL FINISH GO PT_PRO1PL YES NEXT GREAT WHAT PT_DEM3,GOOD(0.78) READY(0.75) NOW(0.67) ALL(0.61) FINISH(0.61) GO(0.56) PT_PRO1PL(0.56) YES(0.56) NEXT(0.54) GREAT(0.53) WHAT(0.52) PT_DEM3(0.49),READY,False
video_1_96_signer_TIME_1,TIME WATCH BYE FINISH READY PT_PRO1PL GO YES KNOW,TIME(0.83) WATCH(0.74) BYE(0.74) FINISH(0.69) READY(0.63) PT_PRO1PL(0.60) GO(0.59) YES(0.57) KNOW(0.49),TIME,False
video_2_127_signer_TIME_1,LOOK,LOOK(0.96),TIME,False
video_3_123_signer_TIME_1,BYE OKAY GO PT_PRO1PL YES LOOK READY,BYE(0.91) OKAY(0.65) GO(0.64) PT_PRO1PL(0.61) YES(0.51) LOOK(0.48) READY(0.45),TIME,False
video_4_126_signer_TIME_1,TIME BYE WATCH PT_PRO1PL GO READY LOOK FINISH YES,TIME(0.63) BYE(0.61) WATCH(0.57) PT_PRO1PL(0.56) GO(0.55) READY(0.54) LOOK(0.51) FINISH(0.47) YES(0.46),TIME,False
video_5_137_signer_TIME_1,WATCH YES GO PT_PRO1PL BYE OKAY LOOK READY FINISH TIME KNOW,WATCH(0.70) YES(0.63) GO(0.63) PT_PRO1PL(0.60) BYE(0.59) OKAY(0.58) LOOK(0.57) READY(0.57) FINISH(0.55) TIME(0.52) KNOW(0.52),TIME,False
video_6_125_signer_TIME_1,LOOK,LOOK(0.97),TIME,False
video_7_123_signer_TIME_1,TIME FINISH BYE GO READY PT_PRO1PL PT_PRO2 NOW YES KNOW GOOD MAKE WATCH SEE,TIME(0.84) FINISH(0.71) BYE(0.70) GO(0.65) READY(0.63) PT_PRO1PL(0.61) PT_PRO2(0.57) NOW(0.56) YES(0.55) KNOW(0.55) GOOD(0.51) MAKE(0.51) WATCH(0.51) SEE(0.46),TIME,False
video_8_82_signer_TIME_1,BYE GO FINISH YES PT_PRO1PL TIME READY KNOW NOW PT_PRO1 GOOD PT_PRO2 NS_AMANDA,BYE(0.80) GO(0.70) FINISH(0.62) YES(0.60) PT_PRO1PL(0.60) TIME(0.59) READY(0.57) KNOW(0.54) NOW(0.54) PT_PRO1(0.53) GOOD(0.50) PT_PRO2(0.50) NS_AMANDA(0.48),TIME,False
video_9_95_signer_TIME_1,LOOK BYE,LOOK(0.74) BYE(0.50),TIME,False
video_10_141_signer_TIME_1,BYE LOOK GO YES PT_PRO1PL WATCH READY KNOW FINISH,BYE(0.80) LOOK(0.63) GO(0.59) YES(0.58) PT_PRO1PL(0.55) WATCH(0.53) READY(0.51) KNOW(0.49) FINISH(0.45),TIME,False
video_11_67_signer_TIME_1,LOOK BYE,LOOK(0.81) BYE(0.56),TIME,False
video_11_124_signer_TIME_1,FINISH READY GO YES PT_PRO2 LOOK,FINISH(0.65) READY(0.57) GO(0.53) YES(0.49) PT_PRO2(0.47) LOOK(0.46),TIME,False
video_12_115_signer_TIME_1,BYE LOOK,BYE(0.82) LOOK(0.49),TIME,False
video_13_154_signer_TIME_1,LOOK BYE,LOOK(0.82) BYE(0.50),TIME,False
