clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_6_signer_HELLO_1,EVERYONE HELLO BYE NS_POSSUM,EVERYONE(0.92) HELLO(0.89) BYE(0.86) NS_POSSUM(0.47),HELLO,False
video_1_9_signer_HELLO_1,BYE WATCH OK OKAY NS_SKIP RIGHT THANK-YOU HELLO LOOK,BYE(0.96) WATCH(0.80) OK(0.75) OKAY(0.73) NS_SKIP(0.64) RIGHT(0.59) THANK-YOU(0.52) HELLO(0.51) LOOK(0.47),HELLO,False
video_1_10_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.91) EVERYONE(0.89),HELLO,False
video_1_83_signer_HELLO_1,HELLO EVERYONE BYE NS_POSSUM,HELLO(0.97) EVERYONE(0.87) BYE(0.84) NS_POSSUM(0.68),HELLO,False
video_2_0_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.97) EVERYONE(0.96),HELLO,False
video_2_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.93) EVERYONE(0.82),HELLO,False
video_2_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.99) EVERYONE(0.98),HELLO,False
video_3_0_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.93) EVERYONE(0.80) BYE(0.72),HELLO,False
video_3_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.91) EVERYONE(0.68),HELLO,False
video_3_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(1.00) EVERYONE(0.95),HELLO,False
video_4_0_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.95) BYE(0.88),HELLO,False
video_4_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.85) EVERYONE(0.60),HELLO,False
video_4_11_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM GREAT THANK-YOU NS_SKIP,HELLO(0.90) BYE(0.84) EVERYONE(0.67) NS_POSSUM(0.57) GREAT(0.57) THANK-YOU(0.55) NS_SKIP(0.51),HELLO,False
