clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(1.00) EVERYONE(0.63) BYE(0.54),HELLO,False
video_1_6_signer_HELLO_1,EVERYONE HELLO KNOW BYE NS_POSSUM,EVERYONE(0.94) HELLO(0.71) KNOW(0.66) BYE(0.65) NS_POSSUM(0.46),HELLO,False
video_1_9_signer_HELLO_1,KNOW PT_DEM3 YES GREAT GOOD,KNOW(0.87) PT_DEM3(0.66) YES(0.63) GREAT(0.61) GOOD(0.45),HELLO,False
video_1_10_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.77) HELLO(0.76),HELLO,False
video_1_83_signer_HELLO_1,HELLO BYE NS_POSSUM,HELLO(0.89) BYE(0.86) NS_POSSUM(0.75),HELLO,False
video_2_0_signer_HELLO_1,BYE HELLO,BYE(0.69) HELLO(0.61),HELLO,False
video_2_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.85) EVERYONE(0.54),HELLO,False
video_2_6_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.68),HELLO,False
video_3_0_signer_HELLO_1,LOOK BYE,LOOK(0.66) BYE(0.57),HELLO,False
video_3_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.96) EVERYONE(0.72),HELLO,False
video_3_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.99) EVERYONE(0.97),HELLO,False
video_4_0_signer_HELLO_1,HELLO BYE,HELLO(0.79) BYE(0.76),HELLO,False
video_4_5_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(1.00) BYE(0.84) EVERYONE(0.49),HELLO,False
video_4_11_signer_HELLO_1,BYE GO HELLO GREAT YES PT_PRO1PL EVERYONE,BYE(0.94) GO(0.55) HELLO(0.54) GREAT(0.54) YES(0.53) PT_PRO1PL(0.47) EVERYONE(0.46),HELLO,False
video_5_0_signer_HELLO_1,LOOK BYE HELLO,LOOK(0.60) BYE(0.58) HELLO(0.47),HELLO,False
video_5_5_signer_HELLO_1,BYE HELLO,BYE(0.94) HELLO(0.76),HELLO,False
video_5_6_signer_HELLO_1,HELLO EVERYONE,HELLO(1.00) EVERYONE(0.81),HELLO,False
video_5_7_signer_HELLO_1,HELLO EVERYONE,HELLO(1.00) EVERYONE(0.64),HELLO,False
video_5_17_signer_HELLO_1,EVERYONE BYE HELLO NS_SALLY,EVERYONE(0.93) BYE(0.92) HELLO(0.80) NS_SALLY(0.54),HELLO,False
video_6_0_signer_HELLO_1,BYE HELLO,BYE(0.75) HELLO(0.69),HELLO,False
video_6_5_signer_HELLO_1,BYE HELLO,BYE(0.95) HELLO(0.79),HELLO,False
video_6_6_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.97) BYE(0.89) HELLO(0.85),HELLO,False
video_6_12_signer_HELLO_1,HELLO BYE NS_SALLY NS_POSSUM,HELLO(0.99) BYE(0.96) NS_SALLY(0.81) NS_POSSUM(0.65),HELLO,False
video_6_38_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.75),HELLO,False
video_7_0_signer_HELLO_1,BYE HELLO,BYE(0.68) HELLO(0.58),HELLO,False
video_7_5_signer_HELLO_1,HELLO BYE,HELLO(1.00) BYE(0.89),HELLO,False
video_7_6_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.96) EVERYONE(0.90) HELLO(0.84),HELLO,False
video_7_18_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.99) EVERYONE(0.97) BYE(0.94),HELLO,False
video_7_33_signer_HELLO_1,HELLO BYE EVERYONE NS_POSSUM,HELLO(0.98) BYE(0.91) EVERYONE(0.89) NS_POSSUM(0.66),HELLO,False
video_7_34_signer_HELLO_1,HELLO BYE,HELLO(0.84) BYE(0.77),HELLO,False
video_1_43_signer_READY_1,NS_SALLY YES PT_PRO1PL LOOK WATCH GREAT,NS_SALLY(0.69) YES(0.63) PT_PRO1PL(0.62) LOOK(0.60) WATCH(0.58) GREAT(0.46),READY,False
video_2_99_signer_READY_1,LOOK PT_DEM3 NS_SALLY YES VERY GOOD WHAT BEAUTIFUL,LOOK(0.75) PT_DEM3(0.72) NS_SALLY(0.72) YES(0.65) VERY(0.59) GOOD(0.59) WHAT(0.47) BEAUTIFUL(0.46),READY,False
video_3_101_signer_READY_1,NEXT READY WHAT PT_DEM3 NS_SALLY FINISH YES GOOD LOOK,NEXT(0.65) READY(0.64) WHAT(0.63) PT_DEM3(0.60) NS_SALLY(0.58) FINISH(0.54) YES(0.52) GOOD(0.51) LOOK(0.49),READY,False
video_7_60_signer_READY_1,WHAT KNOW YES GOOD PT_DEM3 RIGHT,WHAT(0.66) KNOW(0.65) YES(0.63) GOOD(0.60) PT_DEM3(0.58) RIGHT(0.48),READY,False
video_7_104_signer_READY_1,KNOW YES GOOD PT_DEM3 GREAT PT_PRO1PL FINISH,KNOW(0.65) YES(0.64) GOOD(0.62) PT_DEM3(0.57) GREAT(0.55) PT_PRO1PL(0.50) FINISH(0.49),READY,False
video_7_119_signer_READY_1,RIGHT READY YES GOOD FINISH PT_DEM3 NEXT WHAT PT_PRO1PL NOW,RIGHT(0.71) READY(0.70) YES(0.69) GOOD(0.67) FINISH(0.61) PT_DEM3(0.55) NEXT(0.52) WHAT(0.52) PT_PRO1PL(0.46) NOW(0.46),READY,False
video_10_29_signer_READY_1,WHAT GOOD YES KNOW PT_DEM3 FINISH,WHAT(0.67) GOOD(0.67) YES(0.62) KNOW(0.58) PT_DEM3(0.57) FINISH(0.52),READY,False
