gloss,precision,recall,f1-score,support
ALL,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BYE,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DRAW,0.0,0.0,0.0,0.0
EAT,0.0,0.0,0.0,0.0
EVERYONE,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,0.0
GET,0.0,0.0,0.0,0.0
GO,0.11049723756906077,0.5555555555555556,0.18433179723502305,36.0
GOOD,0.30392156862745096,0.5740740740740741,0.3974358974358974,54.0
GREAT,0.0,0.0,0.0,0.0
HAVE,0.0,0.0,0.0,0.0
HELLO,0.3,1.0,0.46153846153846156,30.0
HELP,0.0,0.0,0.0,0.0
HERE,0.0,0.0,0.0,0.0
HOW,0.0,0.0,0.0,0.0
INSIDE,0.0,0.0,0.0,0.0
KNOW,0.28888888888888886,0.24528301886792453,0.2653061224489796,53.0
LEARN,0.0,0.0,0.0,0.0
LIKE,0.0,0.0,0.0,0.0
LOOK,0.0,0.0,0.0,0.0
LOVE,0.0,0.0,0.0,0.0
LOVELY,0.0,0.0,0.0,0.0
MAKE,0.0,0.0,0.0,0.0
MANY,0.0,0.0,0.0,0.0
MORE,0.0,0.0,0.0,0.0
MUCH,0.0,0.0,0.0,0.0
NEED,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0
NOT,0.0,0.0,0.0,0.0
NOW,0.0,0.0,0.0,0.0
NS_POSSUM,0.0,0.0,0.0,0.0
NS_SALLY,0.0,0.0,0.0,0.0
NS_SKIP,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0
OKAY,0.0,0.0,0.0,0.0
ONE,0.23076923076923078,0.05084745762711865,0.08333333333333333,59.0
PAPER,0.0,0.0,0.0,0.0
PLAY,0.0,0.0,0.0,0.0
PLEASE,0.0,0.0,0.0,0.0
PT_DEM3,0.0,0.0,0.0,0.0
PT_LOC,0.0,0.0,0.0,0.0
PT_POSS1,0.0,0.0,0.0,0.0
PT_POSS2,0.0,0.0,0.0,0.0
PT_PRO1,0.0,0.0,0.0,0.0
PT_PRO1PL,0.0,0.0,0.0,0.0
PT_PRO2,0.0,0.0,0.0,0.0
PT_PRO3,0.0,0.0,0.0,0.0
PT_PRO3PL,0.0,0.0,0.0,0.0
PUT,0.0,0.0,0.0,0.0
READY,0.5,0.04,0.07407407407407407,75.0
RIGHT,0.0,0.0,0.0,0.0
SAME,0.0,0.0,0.0,0.0
SEE,0.0,0.0,0.0,0.0
SOMETHING,0.0,0.0,0.0,0.0
THANK-YOU,0.0,0.0,0.0,0.0
THAT,0.0,0.0,0.0,0.0
THEN,0.0,0.0,0.0,0.0
THING,0.0,0.0,0.0,0.0
THINK,0.0,0.0,0.0,69.0
TREE,0.0,0.0,0.0,0.0
TWO,0.0,0.0,0.0,0.0
USE,0.0,0.0,0.0,0.0
VERY,0.0,0.0,0.0,0.0
WAIT,0.0,0.0,0.0,0.0
WANT,0.0,0.0,0.0,0.0
WATCH,0.0,0.0,0.0,0.0
WATER,0.0,0.0,0.0,0.0
WELL,0.0,0.0,0.0,0.0
WHAT,0.15966386554621848,0.5588235294117647,0.24836601307189543,34.0
WHERE,0.0,0.0,0.0,0.0
WHY,0.0,0.0,0.0,0.0
WHY-NOT,0.0,0.0,0.0,0.0
WILL,0.0,0.0,0.0,0.0
YES,0.17933130699088146,0.8805970149253731,0.29797979797979796,67.0
micro avg,0.048541041723479686,0.3731656184486373,0.0859073359073359,477.0
macro avg,0.02497677226977989,0.04705036928267242,0.02424536743515015,477.0
weighted avg,0.2374422012197584,0.3731656184486373,0.19892279796491025,477.0
samples avg,0.062022180683220074,0.3731656184486373,0.09851223200279804,477.0
