clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_6_signer_HELLO_1,HELLO,HELLO(0.99),HELLO,True
video_1_9_signer_HELLO_1,GO THINK,GO(0.96) THINK(0.79),HELLO,False
video_5_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_6_38_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_34_signer_HELLO_1,NON_DETECTION YES,NON_DETECTION(0.92) YES(0.84),HELLO,False
video_10_29_signer_READY_1,NON_DETECTION,NON_DETECTION(1.00),READY,False
video_2_127_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_11_67_signer_TIME_1,GO,GO(1.00),TIME,False
video_13_154_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_14_131_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_18_167_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_35_160_signer_TIME_1,NON_DETECTION TIME,NON_DETECTION(0.72) TIME(0.27),TIME,False
video_38_138_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_7_28_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_12_53_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_15_84_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_19_24_signer_KNOW_1,KNOW,KNOW(0.99),KNOW,True
video_19_65_signer_KNOW_1,NON_DETECTION,NON_DETECTION(0.95),KNOW,False
video_22_111_signer_KNOW_1,ONE,ONE(0.99),KNOW,False
video_23_30_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_24_73_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_24_150_signer_KNOW_1,HELLO,HELLO(1.00),KNOW,False
video_28_76_signer_KNOW_1,KNOW THINK,KNOW(0.94) THINK(0.86),KNOW,False
video_1_54_signer_YES_1,NON_DETECTION,NON_DETECTION(1.00),YES,False
video_2_100_signer_YES_1,GOOD,GOOD(1.00),YES,False
video_2_118_signer_YES_1,,,YES,False
video_3_70_signer_YES_1,YES,YES(1.00),YES,True
video_3_82_signer_YES_1,KNOW THINK,KNOW(0.54) THINK(0.41),YES,False
video_5_35_signer_YES_1,READY,READY(1.00),YES,False
video_6_92_signer_YES_1,YES,YES(0.95),YES,True
video_7_55_signer_YES_1,GOOD,GOOD(0.73),YES,False
video_10_30_signer_YES_1,YES,YES(1.00),YES,True
video_10_49_signer_YES_1,ONE,ONE(1.00),YES,False
video_10_61_signer_YES_1,YES,YES(1.00),YES,True
video_10_92_signer_YES_1,YES,YES(1.00),YES,True
video_13_109_signer_YES_1,NON_DETECTION,NON_DETECTION(0.97),YES,False
video_4_15_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_25_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_48_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_12_68_signer_THINK_1,THINK KNOW,THINK(0.99) KNOW(0.37),THINK,False
video_18_47_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_18_154_signer_THINK_1,THINK YES,THINK(0.90) YES(0.58),THINK,False
video_18_155_signer_THINK_1,READY,READY(0.58),THINK,False
video_19_171_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_19_175_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_20_109_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_24_81_signer_THINK_1,KNOW THINK,KNOW(1.00) THINK(0.36),THINK,False
video_24_140_signer_THINK_1,THINK,THINK(0.98),THINK,True
video_32_43_signer_THINK_1,THINK KNOW,THINK(0.94) KNOW(0.91),THINK,False
video_2_18_signer_WHAT_1,YES,YES(1.00),WHAT,False
video_5_55_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_6_42_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_10_20_signer_WHAT_1,TIME,TIME(1.00),WHAT,False
video_10_51_signer_WHAT_1,KNOW WHAT,KNOW(0.53) WHAT(0.36),WHAT,False
video_18_27_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_5_104_signer_GOOD_1,GOOD,GOOD(1.00),GOOD,True
video_7_45_signer_GOOD_1,NON_DETECTION,NON_DETECTION(0.95),GOOD,False
video_17_8_signer_GOOD_1,THINK,THINK(0.97),GOOD,False
video_41_206_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_42_139_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_44_48_signer_TIME_1,NON_DETECTION WHAT,NON_DETECTION(0.64) WHAT(0.27),TIME,False
video_2_45_signer_GO_1,GO,GO(0.81),GO,True
video_2_106_signer_GO_1,GO HELLO,GO(0.87) HELLO(0.68),GO,False
video_8_55_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_12_8_signer_GO_1,GO,GO(1.00),GO,True
video_12_29_signer_GO_1,GO ONE,GO(0.99) ONE(0.99),GO,False
video_16_9_signer_GO_1,GO,GO(0.99),GO,True
video_17_13_signer_GO_1,READY,READY(0.99),GO,False
video_15_105_signer_READY_1,READY,READY(1.00),READY,True
video_16_146_signer_READY_1,READY,READY(1.00),READY,True
video_16_170_signer_READY_1,READY,READY(1.00),READY,True
video_30_141_signer_READY_1,GOOD,GOOD(1.00),READY,False
video_35_51_signer_READY_1,TIME,TIME(1.00),READY,False
video_43_111_signer_READY_1,NON_DETECTION,NON_DETECTION(1.00),READY,False
video_50_115_signer_READY_1,READY ONE,READY(0.81) ONE(0.47),READY,False
video_60_128_signer_READY_1,READY,READY(1.00),READY,True
video_63_52_signer_READY_1,READY,READY(1.00),READY,True
