clip,predicted_glosses,predicted_with_confidence,ground_truth
video_1_4,PT_PRO1 NS_POSSUM,PT_PRO1(1.00) NS_POSSUM(1.00),NS_POSSUM PT_PRO1
video_1_31,NS_POSSUM YES GREAT PT_PRO2 NO PT_DEM3 GO RIGHT WHERE,NS_POSSUM(0.93) YES(0.82) GREAT(0.75) PT_PRO2(0.74) NO(0.74) PT_DEM3(0.69) GO(0.58) RIGHT(0.54) WHERE(0.49),WELL
video_1_47,GREAT NS_SALLY YES WATCH OK PT_PRO1PL LOOK OKAY BYE PT_DEM3 THANK-YOU HELLO GO RIGHT GOOD,GREAT(0.75) NS_SALLY(0.71) YES(0.69) WATCH(0.68) OK(0.61) PT_PRO1PL(0.58) LOOK(0.58) OKAY(0.57) BYE(0.53) PT_DEM3(0.51) THANK-YOU(0.50) HELLO(0.50) GO(0.48) RIGHT(0.48) GOOD(0.47),YES
video_2_4,NS_POSSUM PT_PRO1,NS_POSSUM(1.00) PT_PRO1(1.00),NS_POSSUM PT_PRO1
video_2_8,NS_POSSUM PT_PRO2 PT_PRO1 PT_DEM3 PT_PRO1PL MAKE HAVE PT_POSS1 NOW NEED NOT CAN VERY SEE,NS_POSSUM(0.72) PT_PRO2(0.66) PT_PRO1(0.65) PT_DEM3(0.61) PT_PRO1PL(0.59) MAKE(0.59) HAVE(0.57) PT_POSS1(0.56) NOW(0.55) NEED(0.55) NOT(0.55) CAN(0.49) VERY(0.48) SEE(0.45),PT_PRO1 VERY
video_2_18,PT_PRO2 PT_DEM3 LOOK NS_SALLY NS_POSSUM NOW WHAT PT_PRO1 CAN GREAT PT_LOC HAVE PT_PRO1PL SEE PT_PRO3 HERE RIGHT DO,PT_PRO2(0.65) PT_DEM3(0.64) LOOK(0.63) NS_SALLY(0.61) NS_POSSUM(0.60) NOW(0.59) WHAT(0.58) PT_PRO1(0.58) CAN(0.56) GREAT(0.54) PT_LOC(0.53) HAVE(0.52) PT_PRO1PL(0.52) SEE(0.50) PT_PRO3(0.48) HERE(0.47) RIGHT(0.46) DO(0.45),DO NS_POSSUM PT_LOC WHAT
video_2_23,GREAT PT_DEM3 NS_POSSUM GOOD RIGHT PT_PRO2 WHAT YES LOOK NOW PT_PRO1PL READY NO,GREAT(0.78) PT_DEM3(0.68) NS_POSSUM(0.66) GOOD(0.64) RIGHT(0.56) PT_PRO2(0.56) WHAT(0.54) YES(0.53) LOOK(0.51) NOW(0.50) PT_PRO1PL(0.49) READY(0.47) NO(0.46),DO NO PT_DEM3 PT_PRO2
video_2_27,NOW PT_PRO2 PT_DEM3 PT_PRO1 CAN PT_PRO1PL NS_SALLY HAVE NS_POSSUM LOOK MAKE PT_LOC SEE ONE GO PT_PRO3 NEED PT_POSS1 TWO TREE WHAT,NOW(0.66) PT_PRO2(0.65) PT_DEM3(0.61) PT_PRO1(0.61) CAN(0.60) PT_PRO1PL(0.60) NS_SALLY(0.59) HAVE(0.59) NS_POSSUM(0.58) LOOK(0.56) MAKE(0.55) PT_LOC(0.55) SEE(0.53) ONE(0.53) GO(0.50) PT_PRO3(0.50) NEED(0.49) PT_POSS1(0.48) TWO(0.47) TREE(0.46) WHAT(0.45),BUT DO PT_PRO2
video_2_105,PT_PRO1 NS_SALLY BUT CAN MAKE PT_POSS1 PT_PRO2 GO WATCH HAVE NS_POSSUM THINK PT_PRO1PL MANY SEE LEARN WANT PT_PRO3 NOW AND PT_DEM3 PUT KNOW GET THING DIFFERENT THEN BECAUSE PT_PRO3PL NEED FINISH GOOD PLAY,PT_PRO1(0.77) NS_SALLY(0.68) BUT(0.67) CAN(0.66) MAKE(0.65) PT_POSS1(0.65) PT_PRO2(0.63) GO(0.62) WATCH(0.61) HAVE(0.59) NS_POSSUM(0.58) THINK(0.57) PT_PRO1PL(0.57) MANY(0.56) SEE(0.55) LEARN(0.54) WANT(0.54) PT_PRO3(0.54) NOW(0.54) AND(0.54) PT_DEM3(0.52) PUT(0.51) KNOW(0.51) GET(0.50) THING(0.49) DIFFERENT(0.49) THEN(0.47) BECAUSE(0.47) PT_PRO3PL(0.47) NEED(0.46) FINISH(0.46) GOOD(0.46) PLAY(0.45),NOW
video_3_36,NS_POSSUM PT_DEM3 PT_PRO2 NOW PT_POSS1 PT_PRO1 PT_PRO1PL NEED MAKE GREAT RIGHT,NS_POSSUM(0.69) PT_DEM3(0.64) PT_PRO2(0.64) NOW(0.60) PT_POSS1(0.59) PT_PRO1(0.58) PT_PRO1PL(0.55) NEED(0.55) MAKE(0.53) GREAT(0.52) RIGHT(0.45),NS_POSSUM THANK-YOU
video_3_49,PT_PRO2 PT_PRO1 CAN HAVE PT_DEM3 MAKE PT_PRO1PL NOW PT_POSS1 NEED NS_POSSUM PT_PRO3 PT_POSS2 SEE BUT,PT_PRO2(0.67) PT_PRO1(0.65) CAN(0.62) HAVE(0.60) PT_DEM3(0.60) MAKE(0.59) PT_PRO1PL(0.59) NOW(0.58) PT_POSS1(0.56) NEED(0.54) NS_POSSUM(0.53) PT_PRO3(0.51) PT_POSS2(0.51) SEE(0.50) BUT(0.47),NOW
