gloss,precision,recall,f1,support,predicted
WHY-NOT,0.5,0.5,0.5,2,2
PT_PRO1,0.2931937172774869,0.717948717948718,0.4163568773234201,156,382
PT_PRO2,0.20084566596194503,0.8260869565217391,0.3231292517006803,115,473
PT_DEM3,0.1859375,0.8947368421052632,0.3078913324708926,133,640
ONE,0.25806451612903225,0.38095238095238093,0.3076923076923077,21,31
TWO,0.3076923076923077,0.3076923076923077,0.3076923076923077,13,13
NS_SALLY,0.1864406779661017,0.6875,0.29333333333333333,80,295
HELLO,0.18461538461538463,0.631578947368421,0.2857142857142857,19,65
EVERYONE,0.16,0.8,0.26666666666666666,5,25
NS_POSSUM,0.1399548532731377,0.7469879518072289,0.23574144486692014,83,443
COME,0.15789473684210525,0.375,0.2222222222222222,8,19
LOOK,0.11403508771929824,0.6724137931034483,0.195,58,342
YES,0.11764705882352941,0.5625,0.1945945945945946,64,306
WHAT,0.11044776119402985,0.6491228070175439,0.18877551020408162,57,335
WATCH,0.1111111111111111,0.5,0.18181818181818182,18,81
PLEASE,0.0967741935483871,0.375,0.15384615384615385,8,31
GET,0.08823529411764706,0.42857142857142855,0.14634146341463414,14,68
PT_LOC,0.09090909090909091,0.375,0.14634146341463414,16,66
THINK,0.12,0.16666666666666666,0.13953488372093023,18,25
DO,0.13157894736842105,0.1388888888888889,0.13513513513513514,36,38
NO,0.07792207792207792,0.42857142857142855,0.13186813186813187,14,77
GO,0.07894736842105263,0.375,0.13043478260869565,32,152
GREAT,0.0718954248366013,0.6875,0.1301775147928994,48,459
KNOW,0.08333333333333333,0.2727272727272727,0.1276595744680851,22,72
HAVE,0.07058823529411765,0.6428571428571429,0.127208480565371,28,255
HERE,0.09090909090909091,0.2,0.125,20,44
BYE,0.07142857142857142,0.375,0.12,8,42
WELL,0.25,0.07692307692307693,0.11764705882352941,13,4
LEARN,0.08333333333333333,0.16666666666666666,0.1111111111111111,6,12
RIGHT,0.058823529411764705,0.6666666666666666,0.10810810810810811,24,272
NOW,0.05647840531561462,0.6538461538461539,0.10397553516819572,26,301
FINISH,0.07407407407407407,0.15384615384615385,0.1,13,27
NEED,0.05517241379310345,0.5333333333333333,0.1,15,145
USE,0.058823529411764705,0.25,0.09523809523809523,4,17
CAN,0.05138339920948617,0.6190476190476191,0.0948905109489051,21,253
PT_PRO1PL,0.048295454545454544,0.4857142857142857,0.08785529715762273,35,352
WANT,0.05263157894736842,0.25,0.08695652173913043,12,57
GOOD,0.049019607843137254,0.37037037037037035,0.08658008658008658,27,204
VERY,0.058823529411764705,0.14285714285714285,0.08333333333333333,28,68
MAKE,0.043209876543209874,0.7777777777777778,0.08187134502923976,9,162
PT_POSS1,0.03804347826086957,0.4666666666666667,0.07035175879396985,15,184
PT_POSS2,0.041666666666666664,0.2,0.06896551724137931,10,48
LIKE,0.06666666666666667,0.07142857142857142,0.06896551724137931,14,15
PT_PRO3,0.030456852791878174,0.4,0.05660377358490566,15,197
PT_PRO3PL,0.05263157894736842,0.058823529411764705,0.05555555555555555,17,19
THANK-YOU,0.03333333333333333,0.13333333333333333,0.05333333333333334,15,60
LOVELY,0.03225806451612903,0.07142857142857142,0.044444444444444446,14,31
WILL,0.03225806451612903,0.07142857142857142,0.044444444444444446,14,31
OKAY,0.024390243902439025,0.2,0.043478260869565216,10,82
BUT,0.02197802197802198,0.2,0.039603960396039604,10,91
PUT,0.01639344262295082,0.1111111111111111,0.02857142857142857,9,61
SEE,0.006329113924050633,0.07142857142857142,0.011627906976744186,14,158
WHERE,0.0,0.0,0.0,5,9
TIME,0.0,0.0,0.0,3,5
WHY,0.0,0.0,0.0,1,5
WATER,0.0,0.0,0.0,4,8
WAIT,0.0,0.0,0.0,7,4
THEN,0.0,0.0,0.0,3,10
THAT,0.0,0.0,0.0,13,2
THING,0.0,0.0,0.0,10,16
SOMETHING,0.0,0.0,0.0,10,2
TREE,0.0,0.0,0.0,14,21
ALL,0.0,0.0,0.0,8,12
SAME,0.0,0.0,0.0,5,0
INSIDE,0.0,0.0,0.0,4,2
BECAUSE,0.0,0.0,0.0,3,4
BEFORE,0.0,0.0,0.0,0,2
BIG,0.0,0.0,0.0,7,5
DIFFERENT,0.0,0.0,0.0,5,12
DRAW,0.0,0.0,0.0,1,0
EAT,0.0,0.0,0.0,3,0
HELP,0.0,0.0,0.0,6,4
HOW,0.0,0.0,0.0,13,8
LOVE,0.0,0.0,0.0,6,12
READY,0.0,0.0,0.0,11,16
MANY,0.0,0.0,0.0,11,26
MORE,0.0,0.0,0.0,2,1
MUCH,0.0,0.0,0.0,12,1
NOT,0.0,0.0,0.0,17,37
NS_SKIP,0.0,0.0,0.0,6,24
AND,0.0,0.0,0.0,2,12
PAPER,0.0,0.0,0.0,0,4
PLAY,0.0,0.0,0.0,1,2
OK,0.0,0.0,0.0,11,73
