gloss,precision,recall,f1-score,support
ALL,0.0,0.0,0.0,0.0
AND,0.0,0.0,0.0,0.0
BECAUSE,0.0,0.0,0.0,0.0
BEFORE,0.0,0.0,0.0,0.0
BIG,0.0,0.0,0.0,0.0
BUT,0.0,0.0,0.0,0.0
BYE,0.0,0.0,0.0,0.0
CAN,0.0,0.0,0.0,0.0
COME,0.0,0.0,0.0,0.0
DIFFERENT,0.0,0.0,0.0,0.0
DO,0.0,0.0,0.0,0.0
DRAW,0.0,0.0,0.0,0.0
EAT,0.0,0.0,0.0,0.0
EVERYONE,0.0,0.0,0.0,0.0
FINISH,0.0,0.0,0.0,0.0
GET,0.0,0.0,0.0,0.0
GO,0.17647058823529413,0.4166666666666667,0.24793388429752067,36.0
GOOD,0.35353535353535354,0.6481481481481481,0.45751633986928103,54.0
GREAT,0.0,0.0,0.0,0.0
HAVE,0.0,0.0,0.0,0.0
HELLO,0.3157894736842105,1.0,0.48,30.0
HELP,0.0,0.0,0.0,0.0
HERE,0.0,0.0,0.0,0.0
HOW,0.0,0.0,0.0,0.0
INSIDE,0.0,0.0,0.0,0.0
KNOW,0.35,0.2641509433962264,0.3010752688172043,53.0
LEARN,0.0,0.0,0.0,0.0
LIKE,0.0,0.0,0.0,0.0
LOOK,0.0,0.0,0.0,0.0
LOVE,0.0,0.0,0.0,0.0
LOVELY,0.0,0.0,0.0,0.0
MAKE,0.0,0.0,0.0,0.0
MANY,0.0,0.0,0.0,0.0
MORE,0.0,0.0,0.0,0.0
MUCH,0.0,0.0,0.0,0.0
NEED,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0
NOT,0.0,0.0,0.0,0.0
NOW,0.0,0.0,0.0,0.0
NS_POSSUM,0.0,0.0,0.0,0.0
NS_SALLY,0.0,0.0,0.0,0.0
NS_SKIP,0.0,0.0,0.0,0.0
OK,0.0,0.0,0.0,0.0
OKAY,0.0,0.0,0.0,0.0
ONE,0.5454545454545454,0.1016949152542373,0.17142857142857143,59.0
PAPER,0.0,0.0,0.0,0.0
PLAY,0.0,0.0,0.0,0.0
PLEASE,0.0,0.0,0.0,0.0
PT_DEM3,0.0,0.0,0.0,0.0
PT_LOC,0.0,0.0,0.0,0.0
PT_POSS1,0.0,0.0,0.0,0.0
PT_POSS2,0.0,0.0,0.0,0.0
PT_PRO1,0.0,0.0,0.0,0.0
PT_PRO1PL,0.0,0.0,0.0,0.0
PT_PRO2,0.0,0.0,0.0,0.0
PT_PRO3,0.0,0.0,0.0,0.0
PT_PRO3PL,0.0,0.0,0.0,0.0
PUT,0.0,0.0,0.0,0.0
READY,0.0,0.0,0.0,75.0
RIGHT,0.0,0.0,0.0,0.0
SAME,0.0,0.0,0.0,0.0
SEE,0.0,0.0,0.0,0.0
SOMETHING,0.0,0.0,0.0,0.0
THANK-YOU,0.0,0.0,0.0,0.0
THAT,0.0,0.0,0.0,0.0
THEN,0.0,0.0,0.0,0.0
THING,0.0,0.0,0.0,0.0
THINK,0.16666666666666666,0.014492753623188406,0.02666666666666667,69.0
TREE,0.0,0.0,0.0,0.0
TWO,0.0,0.0,0.0,0.0
USE,0.0,0.0,0.0,0.0
VERY,0.0,0.0,0.0,0.0
WAIT,0.0,0.0,0.0,0.0
WANT,0.0,0.0,0.0,0.0
WATCH,0.0,0.0,0.0,0.0
WATER,0.0,0.0,0.0,0.0
WELL,0.0,0.0,0.0,0.0
WHAT,0.1210762331838565,0.7941176470588235,0.21011673151750973,34.0
WHERE,0.0,0.0,0.0,0.0
WHY,0.0,0.0,0.0,0.0
WHY-NOT,0.0,0.0,0.0,0.0
WILL,0.0,0.0,0.0,0.0
YES,0.1864951768488746,0.8656716417910447,0.30687830687830686,67.0
micro avg,0.05318844724049185,0.389937106918239,0.09360845495722195,477.0
macro avg,0.026692626959142186,0.04945714115588356,0.02652549119849471,477.0
weighted avg,0.23849291705838552,0.389937106918239,0.21729055048572607,477.0
samples avg,0.07342773155539672,0.389937106918239,0.11190575021503621,477.0
