clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_6_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_9_signer_HELLO_1,THINK ONE,THINK(1.00) ONE(0.30),HELLO,False
video_5_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_6_38_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_0_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_34_signer_HELLO_1,YES,YES(1.00),HELLO,False
video_10_29_signer_READY_1,NON_DETECTION,NON_DETECTION(0.98),READY,False
video_2_127_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_11_67_signer_TIME_1,TIME THINK,TIME(0.95) THINK(0.81),TIME,False
video_13_154_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_14_131_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_18_167_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_35_160_signer_TIME_1,NON_DETECTION READY,NON_DETECTION(0.93) READY(0.59),TIME,False
video_38_138_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_7_28_signer_KNOW_1,THINK,THINK(0.91),KNOW,False
video_12_53_signer_KNOW_1,KNOW,KNOW(1.00),KNOW,True
video_15_84_signer_KNOW_1,KNOW,KNOW(0.95),KNOW,True
video_19_24_signer_KNOW_1,ONE,ONE(1.00),KNOW,False
video_19_65_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_22_111_signer_KNOW_1,THINK ONE,THINK(0.99) ONE(0.47),KNOW,False
video_23_30_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_24_73_signer_KNOW_1,KNOW THINK,KNOW(0.99) THINK(0.47),KNOW,False
video_24_150_signer_KNOW_1,THINK,THINK(1.00),KNOW,False
video_28_76_signer_KNOW_1,THINK,THINK(0.98),KNOW,False
video_1_54_signer_YES_1,NON_DETECTION,NON_DETECTION(0.97),YES,False
video_2_100_signer_YES_1,READY GOOD,READY(0.93) GOOD(0.93),YES,False
video_2_118_signer_YES_1,GOOD,GOOD(0.28),YES,False
video_3_70_signer_YES_1,YES,YES(1.00),YES,True
video_3_82_signer_YES_1,ONE,ONE(0.99),YES,False
video_5_35_signer_YES_1,READY,READY(1.00),YES,False
video_6_92_signer_YES_1,NON_DETECTION GOOD,NON_DETECTION(0.84) GOOD(0.26),YES,False
video_7_55_signer_YES_1,YES,YES(1.00),YES,True
video_10_30_signer_YES_1,YES,YES(1.00),YES,True
video_10_49_signer_YES_1,ONE,ONE(1.00),YES,False
video_10_61_signer_YES_1,YES,YES(1.00),YES,True
video_10_92_signer_YES_1,YES,YES(1.00),YES,True
video_13_109_signer_YES_1,READY,READY(0.41),YES,False
video_4_15_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_25_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_6_48_signer_THINK_1,KNOW GO,KNOW(0.65) GO(0.36),THINK,False
video_12_68_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_18_47_signer_THINK_1,KNOW THINK,KNOW(0.92) THINK(0.84),THINK,False
video_18_154_signer_THINK_1,YES,YES(0.99),THINK,False
video_18_155_signer_THINK_1,READY,READY(0.99),THINK,False
video_19_171_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_19_175_signer_THINK_1,THINK,THINK(0.31),THINK,True
video_20_109_signer_THINK_1,KNOW,KNOW(1.00),THINK,False
video_24_81_signer_THINK_1,THINK KNOW,THINK(0.99) KNOW(0.36),THINK,False
video_24_140_signer_THINK_1,THINK,THINK(1.00),THINK,True
video_32_43_signer_THINK_1,THINK KNOW,THINK(0.99) KNOW(0.55),THINK,False
video_2_18_signer_WHAT_1,NON_DETECTION YES,NON_DETECTION(1.00) YES(0.77),WHAT,False
video_5_55_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_6_42_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_10_20_signer_WHAT_1,TIME,TIME(1.00),WHAT,False
video_10_51_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_18_27_signer_WHAT_1,WHAT,WHAT(1.00),WHAT,True
video_5_104_signer_GOOD_1,GOOD,GOOD(0.99),GOOD,True
video_7_45_signer_GOOD_1,YES GOOD,YES(0.99) GOOD(0.26),GOOD,False
video_17_8_signer_GOOD_1,THINK,THINK(1.00),GOOD,False
video_41_206_signer_TIME_1,TIME,TIME(1.00),TIME,True
video_42_139_signer_TIME_1,NON_DETECTION TIME,NON_DETECTION(1.00) TIME(0.85),TIME,False
video_44_48_signer_TIME_1,YES WHAT,YES(0.78) WHAT(0.50),TIME,False
video_2_45_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_2_106_signer_GO_1,KNOW,KNOW(0.82),GO,False
video_8_55_signer_GO_1,NON_DETECTION,NON_DETECTION(1.00),GO,False
video_12_8_signer_GO_1,ONE GO,ONE(0.98) GO(0.40),GO,False
video_12_29_signer_GO_1,ONE NON_DETECTION,ONE(0.91) NON_DETECTION(0.87),GO,False
video_16_9_signer_GO_1,GO GOOD,GO(0.83) GOOD(0.62),GO,False
