text	gloss
that soon .	SOON THAT
sally it is four oclock .	NS_SALLY NOW FOUR O'CLOCK#4
what .	WHAT
no .	NOT
again what is the problem this time .	AGAIN WHAT PROBLEM THIS-TIME
s c h o o l .	S-C-H-O-O-L
where is my coffee .	PT_LOC WHERE COFFEE PT_POSS1
yes .	YES
yes that is right .	YES PT_DEM3 RIGHT
i know she is your friend but she is always so nice to me .	KNOW FRIEND BUT NICE PT_PRO1
the cogs are moving together to make the drill bit move .	COG MOVE TOGETHER MAKE DRILL-BIT MOVE
yes that is the paddle that is great .	YES PT_DEM3 PADDLE GREAT
i am going to do that by chopping the fruit up into small pieces and putting them on this skewer .	PT_PRO1 GO DO FRUIT CHOP-UP SMALL PIECE PUT SKEWER THIS ON
the lady who did all of the flower arranging is called a florist .	LADY FLOWER ARRANGE CALL FLORIST
now what happened next .	NOW WHAT HAPPEN NEXT
well our time is up .	TIME FINISH
that is great .	PT_DEM3 GREAT
well our time is up .	FINISH TIME
the back of it tipped up and all these stones came tumbling out .	BACK PT_PRO3 TIP-UP STONE TUMBLE-OUT MANY
hello .	HELLO
but how do i spell it .	BUT HOW PT_PRO1 SPELL
my cricket ball .	PT_POSS1 CRICKET BALL
what is camping .	CAMP WHAT
hi sally .	HI NS_SALLY
i remember .	PT_PRO1 REMEMBER
it is delicious .	DELICIOUS
do you have water in this .	DO PT_PRO2 HAVE WATER PT_DEM3
yes i am .	YES PT_PRO1
hello sally .	HELLO NS_SALLY
while you are shaking that why do not we watch children learning about cheese and how that also comes from milk .	WHILE PT_PRO2 SHAKE-THAT WHY NOT WATCH CHILD LEARN CHEESE HOW ALSO COME-FROM MILK
i am excited to see the police are here .	PT_PRO1 EXCITED POLICE COME SEE
what are you up to .	YOU DO-WHAT
sally what is ice cream .	NS_SALLY WHAT ICE-CREAM
when i go to the shop i like to buy fresh food .	SHOP GO FOOD FRESH BUY LIKE
you would not want to get much taller .	PT_PRO2 WANT-NOT TALL MUCH
it must be here somewhere .	HERE SOMEWHERE MUST-BE
you put your thoughts and feelings into arranging the flowers .	PT_PRO2 PUT PT_POSS2 THOUGHT FEELING INTO ARRANGE FLOWER
i have turned the mains back on .	PT_PRO1 TURN MAINS ON BACK
what has happened .	HAPPEN WHAT
hello .	HELLO
sally are you all dry now .	NS_SALLY PT_PRO2 DRY FINISH
but possum you have learned so many things i am sure you could learn to ride a bike too .	BUT POSSUM PT_PRO2 LEARN THING MANY PT_PRO1 SURE PT_PRO2 CAN LEARN BIKE RIDE TOO
now it is fixed and everything works .	NOW FIX FINISH EVERYTHING WORK
hello everyone .	HELLO EVERYONE
now can we try quarters .	NOW QUARTERS TRY CAN-WE
he is doing well .	PT_PRO3 DO WELL
would you like to come in .	PT_PRO2 LIKE COME-IN
well children love dressing up and playing pretend .	CHILD LOVE DRESS-UP PLAY PRETEND
all that climbing .	CLIMB FINISH
no way .	NO-WAY
can you get them out please .	PT_PRO2 GET-OUT PLEASE
this is a fuel cell and i am going to light the fuel cell and it will create fire .	PT_DEM3 FUEL CELL PT_PRO1 WILL LIGHT FUEL CELL CREATE FIRE
the end .	FINISH
it took a photo and you can see all the bones in my foot .	X-RAY TAKE PHOTO AND PT_PRO2 CAN SEE ALL BONE FOOT
is it lunchtime .	LUNCHTIME NOW QUESTION
i will just get someone to come with a ladder and have a look .	PT_PRO1 WILL GET SOMEONE COME LADDER LOOK
sort them into groups of the same thing .	SORT PT_PRO3PL GROUP SAME
it is just like my chair .	LIKE PT_POSS1 CHAIR
sally i was planning on going back to sleep .	NS_SALLY PT_PRO1 SLEEP PLAN BACK
i am sally .	PT_PRO1 NS_SALLY
i have brought it here but i just need a hand bringing it in .	BRING HERE BUT NEED HAND BRING-IN
possum thinks he is able to go to school .	POSSUM THINK PT_PRO3 CAN GO SCHOOL
i wanted to say thank you so i thought i would give you a special surprise .	PT_PRO1 WANT SAY THANK-YOU SO PT_PRO1 THINK PT_PRO1 GIVE PT_PRO2 SPECIAL SURPRISE
those potatoes should be ready by now .	POTATO MANY READY NOW
that is quite a cough you have got .	COUGH QUITE PT_PRO2 HAVE
we have made lots of things today just from folding .	TODAY PT_PRO1 MAKE MANY FOLD
if he says he is not busy then you can ask him all sorts of questions about trains ok .	BUSY NOT IF PT_PRO2 ASK QUESTION TRAIN MANY OK
come on sally .	COME-ON NS_SALLY
sally it is kind of like a spoon that you eat too .	NS_SALLY SPOON EAT LIKE
i am sally .	PT_PRO1 NS_SALLY
is it a rocket .	ROCKET
great .	GREAT
because i have got two benches i have made a code b for back that means the back bench .	BECAUSE PT_PRO1 HAVE TWO BENCH PT_PRO1 MAKE CODE B BACK MEAN BACK BENCH
you go over there i will stay here ready .	PT_PRO2 GO THERE PT_PRO1 STAY HERE READY
it is the safest way ok .	PT_DEM3 SAFEST WAY OKAY
breathing in the clean air .	BREATHE-IN CLEAN AIR
i have something else to give you now .	PT_PRO1 HAVE SOMETHING ELSE GIVE PT_PRO2 NOW
this is a whole .	PT_DEM3 WHOLE
they are delicious .	DELICIOUS
ayeaye possum .	AYEAYE POSSUM
well sally you told me i was not allowed to waste water .	WELL NS_SALLY PT_PRO2 TELL-ME PT_PRO1 NOT ALLOW WASTE WATER
no you must stay and watch him carefully .	NO PT_PRO2 MUST STAY WATCH PT_PRO3 CAREFUL
look it is your cricket ball .	LOOK PT_DEM3 PT_POSS2 CRICKET-BALL
hello sally .	HELLO NS_SALLY
do you want to learn some more words .	PT_PRO2 WANT LEARN WORD MORE
sally your hair looks beautiful .	NS_SALLY PT_POSS2 HAIR LOOK BEAUTIFUL
i know come here sally .	PT_PRO1 KNOW COME-HERE NS_SALLY
that would be great .	GOOD VERY
look .	LOOK
that is right .	RIGHT
you do not have to worry about how heavy it is .	PT_PRO2 WORRY HEAVY-NOT
here with you .	HERE PT_POSS2 WITH PT_PRO2
so your cricket bat .	PT_POSS2 CRICKET BAT
wait it is important that we learn at possum school .	WAIT IMPORTANT LEARN POSSUM-SCHOOL
sally that moon is very very busy .	NS_SALLY MOON BUSY BUSY
hi sally .	HI NS_SALLY
it is wonderful .	WONDERFUL
we have our instructions on this piece of paper .	PT_PRO1PL HAVE INSTRUCTION PAPER PT_DEM3
aye aye sally i understand .	YES YES NS_SALLY PT_PRO1 UNDERSTAND
yellow .	YELLOW
this is wheat germ .	PT_DEM3 WHEAT GERM
we have made out tail .	PT_PRO1PL MAKE TAIL FINISH
let us watch .	WATCH
i think recycling is very important because it saves the earth .	RECYCLE IMPORTANT VERY, EARTH SAVE BECAUSE.
yes i would happily become your teacher .	YES PT_PRO1 HAPPY BECOME PT_POSS2 TEACHER
yesterday i saw her making a cake .	YESTERDAY PT_PRO1 SEE NS_SALLY MAKE CAKE
so where are your goals .	WHERE PT_POSS2 GOAL
hello everyone .	HELLO EVERYONE
yes i am very good .	YES PT_PRO1 GOOD VERY
why do not we watch some children being taken to school by their parents for the very first time .	WHY CHILD WATCH SCHOOL GO PARENT FROM FIRST-TIME VERY
will the angle get smaller or bigger .	ANGLE GET SMALL-OR BIGGER QUESTION
right b .	RIGHT B
see i will show you how to make it sharp .	SEE PT_PRO1 SHOW PT_PRO2 HOW SHARP
but here to there is one two .	HERE PT_LOC PT_LOC ONE TWO
i am practicing playing soccer kicking the ball around .	PT_PRO1 PRACTICE PLAY SOCCER KICK BALL AROUND
we have to be very careful though .	MUST CAREFUL VERY
this is what i have written .	WRITE PT_POSS1 THIS
we are now ready to make some ice cream .	NOW READY MAKE SOME ICE-CREAM
see you next time .	SEE PT_PRO2 NEXT TIME
i have been practising .	PT_PRO1 PRACTISE FINISH
great now fold it again .	GREAT NOW FOLD AGAIN
sally will be so pleased .	SALLY PLEASED VERY
yes they look good .	YES PT_PRO3PL LOOK GOOD
great .	GREAT
i wonder if he understands what blue is .	PT_PRO1 WONDER PT_PRO3 UNDERSTAND BLUE WHAT
they were bouncing all over the place .	BOUNCE EVERYWHERE
yeah let us watch .	YEAH WATCH
well white butterflies love to eat cabbage .	WELL WHITE BUTTERFLY LOVE EAT CABBAGE
here is possum .	PT_LOC NS_POSSUM
look at possum playing with those cardboard boxes .	LOOK PT_DEM3 POSSUM PLAY CARDBOARD BOX MANY
hello .	HELLO
come on let us go .	COME-ON GO
hang on sally .	WAIT NS_SALLY
beautiful .	BEAUTIFUL
that is very clever possum to take it down so it would not break .	PT_DEM3 VERY CLEVER POSSUM TAKE DOWN SO BREAK-NOT
how can we do that .	HOW DO
it all looks great .	ALL LOOK GREAT
ready .	READY
it has gone .	GONE
see you next time .	SEE PT_PRO2 NEXT TIME
playing sport outside has made me so hungry .	PLAY SPORT OUTSIDE MAKE PT_PRO1 HUNGRY
where did he go .	POSSUM WHERE GO-Q
one more story one more story .	STORY ONE-MORE STORY ONE-MORE
it is looking good i know possum will be here soon .	LOOK GOOD KNOW POSSUM COME-SOON
you have had plenty of practice with your fractions .	PT_PRO2 PRACTICE PLENTY FRACTION PT_POSS2
i am so happy .	PT_PRO1 HAPPY VERY
that is fantastic .	PT_DEM3 FANTASTIC
yes .	YES
this one .	PT_DEM3
i know what to do .	PT_PRO1 KNOW WHAT DO
hang on .	WAIT
have a look possum .	LOOK POSSUM
yes .	YES
i need to go and put these bags in the rubbish .	PT_PRO1 NEED GO PUT BAG-PL PT_DEM3 RUBBISH
no possum we will eat later .	POSSUM EAT LATER NOT
it was a great performance it was really good .	PERFORMANCE GREAT REALLY GOOD
see you next time .	SEE PT_PRO2 NEXT TIME
just like when you were at the top of your tree and you dropped the apple .	LIKE PT_PRO2 TOP TREE PT_POSS2 APPLE DROP
hi everyone .	G'DAY EVERYONE
i wonder if he is awake .	PT_PRO1 WONDER POSSUM AWAKE
that is right .	PT_DEM3 RIGHT
that is right all of the ingredients have combined and we have made dough .	RIGHT INGREDIENT ALL COMBINE FINISH PT_PRO1PL MAKE DOUGH
well our time is up .	PT_PRO1PL TIME FINISH
i will try .	PT_PRO1 TRY WILL
this is not the treasure .	TREASURE THIS-NOT
look at the clouds moving in the sky .	LOOK CLOUD DSM(5) MOVE SKY
i am possum .	PT_PRO1 NS_POSSUM
you can that is great .	PT_PRO2 CAN GREAT
would you like me to tell you a story .	PT_PRO2 LIKE PT_PRO1 STORY TELL
yes that has called the mast .	YES PT_DEM3 CALL MAST
sally the hot water was the fastest .	NS_SALLY HOT WATER FAST FINISH
she is .	TRUE
i have seen them before .	BEFORE SEE PT_PRO1 PT_PRO3PL
four that is seconds .	FOUR SECOND
which one do you think is the p .	WHICH-ONE PT_PRO2 THINK P
bye bye .	BYE BYE
that liquid stuff is the buttermilk .	LIQUID STUFF BUTTERMILK
sally .	NS_SALLY
that is s .	THAT S
yes .	YES
well i think you are just the right height .	PT_PRO1 THINK PT_PRO2 HEIGHT RIGHT
i have got your scrapbook .	PT_PRO1 SCRAPBOOK PT_POSS2 HAVE
yes they were were not they .	YES WAVE-NOT QUESTION
