clip,predicted_glosses,predicted_with_confidence,ground_truth,correct
video_1_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_1_6_signer_HELLO_1,EVERYONE HELLO RIGHT,EVERYONE(0.58) HELLO(0.56) RIGHT(0.48),HELLO,False
video_1_9_signer_HELLO_1,BYE GO YES RIGHT OKAY OK NS_SKIP WATCH LOOK GREAT HELLO NO PT_PRO1PL,BYE(0.75) GO(0.73) YES(0.67) RIGHT(0.61) OKAY(0.59) OK(0.58) NS_SKIP(0.57) WATCH(0.54) LOOK(0.54) GREAT(0.54) HELLO(0.52) NO(0.49) PT_PRO1PL(0.48),HELLO,False
video_1_10_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.99) EVERYONE(0.99) HELLO(0.97),HELLO,False
video_1_83_signer_HELLO_1,HELLO EVERYONE NS_POSSUM BYE NS_SALLY,HELLO(0.99) EVERYONE(0.93) NS_POSSUM(0.88) BYE(0.66) NS_SALLY(0.49),HELLO,False
video_2_0_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.97) HELLO(0.96) BYE(0.95),HELLO,False
video_2_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_2_6_signer_HELLO_1,HELLO BYE EVERYONE,HELLO(0.99) BYE(0.98) EVERYONE(0.98),HELLO,False
video_3_0_signer_HELLO_1,HELLO EVERYONE NS_POSSUM BYE,HELLO(0.95) EVERYONE(0.89) NS_POSSUM(0.81) BYE(0.64),HELLO,False
video_3_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_3_6_signer_HELLO_1,BYE HELLO EVERYONE,BYE(0.98) HELLO(0.94) EVERYONE(0.92),HELLO,False
video_4_0_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.99) HELLO(0.98) BYE(0.91),HELLO,False
video_4_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_4_11_signer_HELLO_1,HELLO GREAT BYE THANK-YOU NS_SALLY YES NS_POSSUM WAIT,HELLO(0.88) GREAT(0.77) BYE(0.65) THANK-YOU(0.58) NS_SALLY(0.57) YES(0.55) NS_POSSUM(0.51) WAIT(0.51),HELLO,False
video_5_0_signer_HELLO_1,HELLO EVERYONE BYE NS_POSSUM,HELLO(0.98) EVERYONE(0.92) BYE(0.68) NS_POSSUM(0.57),HELLO,False
video_5_5_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.95) EVERYONE(0.90) HELLO(0.83),HELLO,False
video_5_6_signer_HELLO_1,HELLO EVERYONE,HELLO(1.00) EVERYONE(0.96),HELLO,False
video_5_7_signer_HELLO_1,HELLO EVERYONE BYE NS_POSSUM,HELLO(0.99) EVERYONE(0.97) BYE(0.91) NS_POSSUM(0.63),HELLO,False
video_5_17_signer_HELLO_1,BYE HELLO NS_SALLY RIGHT EVERYONE,BYE(0.84) HELLO(0.72) NS_SALLY(0.52) RIGHT(0.49) EVERYONE(0.47),HELLO,False
video_6_0_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.98) HELLO(0.97) BYE(0.94),HELLO,False
video_6_5_signer_HELLO_1,HELLO EVERYONE BYE,HELLO(0.98) EVERYONE(0.98) BYE(0.94),HELLO,False
video_6_6_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.94) BYE(0.91) HELLO(0.88),HELLO,False
video_6_12_signer_HELLO_1,HELLO BYE EVERYONE NS_SALLY NS_POSSUM,HELLO(0.96) BYE(0.81) EVERYONE(0.78) NS_SALLY(0.71) NS_POSSUM(0.48),HELLO,False
video_6_38_signer_HELLO_1,HELLO EVERYONE NS_SALLY BYE NS_POSSUM,HELLO(0.99) EVERYONE(0.85) NS_SALLY(0.81) BYE(0.81) NS_POSSUM(0.68),HELLO,False
video_7_0_signer_HELLO_1,EVERYONE BYE HELLO,EVERYONE(0.95) BYE(0.95) HELLO(0.93),HELLO,False
video_7_5_signer_HELLO_1,HELLO,HELLO(1.00),HELLO,True
video_7_6_signer_HELLO_1,EVERYONE HELLO BYE,EVERYONE(0.99) HELLO(0.99) BYE(0.96),HELLO,False
video_7_18_signer_HELLO_1,BYE EVERYONE HELLO,BYE(0.98) EVERYONE(0.97) HELLO(0.93),HELLO,False
video_7_33_signer_HELLO_1,HELLO EVERYONE BYE NS_SALLY,HELLO(0.97) EVERYONE(0.93) BYE(0.69) NS_SALLY(0.51),HELLO,False
video_7_34_signer_HELLO_1,LOOK BYE HELLO,LOOK(0.95) BYE(0.93) HELLO(0.67),HELLO,False
video_1_43_signer_READY_1,NS_SALLY PT_PRO1 WATCH OK YES GO GREAT OKAY PT_PRO1PL CAN LOOK KNOW,NS_SALLY(0.62) PT_PRO1(0.57) WATCH(0.57) OK(0.57) YES(0.55) GO(0.54) GREAT(0.52) OKAY(0.51) PT_PRO1PL(0.49) CAN(0.47) LOOK(0.46) KNOW(0.46),READY,False
video_2_99_signer_READY_1,GREAT OKAY LOOK RIGHT PT_DEM3 OK,GREAT(0.86) OKAY(0.71) LOOK(0.64) RIGHT(0.59) PT_DEM3(0.58) OK(0.56),READY,False
video_3_101_signer_READY_1,GREAT LOOK PT_DEM3 WHAT OKAY YES ONE NS_SALLY RIGHT NOW PT_LOC OK CAN,GREAT(0.67) LOOK(0.62) PT_DEM3(0.60) WHAT(0.59) OKAY(0.58) YES(0.55) ONE(0.52) NS_SALLY(0.51) RIGHT(0.48) NOW(0.47) PT_LOC(0.46) OK(0.46) CAN(0.45),READY,False
video_7_60_signer_READY_1,YES GREAT NO RIGHT OKAY OK LOOK,YES(0.72) GREAT(0.70) NO(0.66) RIGHT(0.66) OKAY(0.62) OK(0.53) LOOK(0.45),READY,False
video_7_104_signer_READY_1,WATCH GREAT SEE OKAY THANK-YOU RIGHT OK YES,WATCH(0.84) GREAT(0.82) SEE(0.63) OKAY(0.60) THANK-YOU(0.57) RIGHT(0.53) OK(0.50) YES(0.46),READY,False
video_7_119_signer_READY_1,GREAT OKAY GOOD OK RIGHT PT_DEM3 YES LOOK WHAT,GREAT(0.71) OKAY(0.52) GOOD(0.52) OK(0.51) RIGHT(0.51) PT_DEM3(0.50) YES(0.50) LOOK(0.48) WHAT(0.47),READY,False
video_10_29_signer_READY_1,GREAT OKAY RIGHT WHAT OK PT_DEM3 YES GOOD,GREAT(0.77) OKAY(0.60) RIGHT(0.57) WHAT(0.56) OK(0.54) PT_DEM3(0.52) YES(0.49) GOOD(0.45),READY,False
video_10_95_signer_READY_1,LOOK GREAT NS_SALLY PT_DEM3 PT_LOC WHAT OKAY YES,LOOK(0.77) GREAT(0.74) NS_SALLY(0.68) PT_DEM3(0.58) PT_LOC(0.57) WHAT(0.56) OKAY(0.46) YES(0.46),READY,False
video_11_70_signer_READY_1,GREAT GOOD OK RIGHT YES PT_DEM3 OKAY SEE,GREAT(0.86) GOOD(0.64) OK(0.58) RIGHT(0.58) YES(0.56) PT_DEM3(0.54) OKAY(0.53) SEE(0.50),READY,False
video_1_91_signer_KNOW_1,YES GO LOOK NS_POSSUM RIGHT NO BYE HELLO KNOW PT_PRO1PL,YES(0.71) GO(0.69) LOOK(0.62) NS_POSSUM(0.60) RIGHT(0.60) NO(0.54) BYE(0.52) HELLO(0.48) KNOW(0.48) PT_PRO1PL(0.48),KNOW,False
video_2_69_signer_KNOW_1,YES GO PT_PRO2 RIGHT SEE PT_PRO1PL CAN NS_POSSUM,YES(0.62) GO(0.59) PT_PRO2(0.53) RIGHT(0.51) SEE(0.51) PT_PRO1PL(0.50) CAN(0.45) NS_POSSUM(0.45),KNOW,False
video_3_118_signer_KNOW_1,BYE SEE LOOK KNOW CAN HAVE NS_SKIP GO PT_PRO1 PT_PRO1PL,BYE(0.71) SEE(0.70) LOOK(0.70) KNOW(0.68) CAN(0.59) HAVE(0.56) NS_SKIP(0.55) GO(0.52) PT_PRO1(0.51) PT_PRO1PL(0.46),KNOW,False
video_7_28_signer_KNOW_1,RIGHT KNOW WATCH GO YES,RIGHT(0.58) KNOW(0.58) WATCH(0.52) GO(0.47) YES(0.46),KNOW,False
video_7_84_signer_KNOW_1,YES RIGHT GREAT LOOK NO NS_POSSUM GO PT_DEM3 OKAY,YES(0.84) RIGHT(0.70) GREAT(0.70) LOOK(0.67) NO(0.61) NS_POSSUM(0.50) GO(0.49) PT_DEM3(0.46) OKAY(0.46),KNOW,False
video_8_30_signer_KNOW_1,BYE EVERYONE HELLO,BYE(0.97) EVERYONE(0.89) HELLO(0.86),KNOW,False
video_10_51_signer_KNOW_1,BYE HELLO EVERYONE,BYE(0.99) HELLO(0.93) EVERYONE(0.91),KNOW,False
video_10_119_signer_KNOW_1,GO YES BYE WATCH RIGHT PT_PRO1PL OKAY LOOK HELLO NS_SKIP OK NO GREAT,GO(0.76) YES(0.74) BYE(0.71) WATCH(0.63) RIGHT(0.60) PT_PRO1PL(0.56) OKAY(0.56) LOOK(0.55) HELLO(0.52) NS_SKIP(0.52) OK(0.49) NO(0.49) GREAT(0.47),KNOW,False
video_11_77_signer_KNOW_1,BYE HELLO RIGHT GO,BYE(0.82) HELLO(0.62) RIGHT(0.57) GO(0.49),KNOW,False
video_12_20_signer_KNOW_1,BYE HELLO EVERYONE NS_POSSUM RIGHT,BYE(0.71) HELLO(0.71) EVERYONE(0.69) NS_POSSUM(0.50) RIGHT(0.49),KNOW,False
video_12_53_signer_KNOW_1,YES GO LOOK RIGHT OKAY NS_POSSUM,YES(0.68) GO(0.65) LOOK(0.64) RIGHT(0.60) OKAY(0.53) NS_POSSUM(0.50),KNOW,False
video_12_91_signer_KNOW_1,NS_POSSUM NO YES GREAT LOOK GO PT_PRO2 SEE RIGHT PT_DEM3 PT_PRO3,NS_POSSUM(0.73) NO(0.71) YES(0.70) GREAT(0.68) LOOK(0.66) GO(0.65) PT_PRO2(0.60) SEE(0.59) RIGHT(0.50) PT_DEM3(0.48) PT_PRO3(0.48),KNOW,False
video_13_23_signer_KNOW_1,NS_POSSUM LOOK GO HELLO BYE NO PT_PRO2 RIGHT,NS_POSSUM(0.70) LOOK(0.56) GO(0.56) HELLO(0.52) BYE(0.50) NO(0.50) PT_PRO2(0.48) RIGHT(0.47),KNOW,False
video_14_80_signer_KNOW_1,EVERYONE BYE HELLO,EVERYONE(0.83) BYE(0.78) HELLO(0.72),KNOW,False
video_15_74_signer_KNOW_1,BYE HELLO LOOK GO PT_PRO1PL,BYE(0.79) HELLO(0.51) LOOK(0.49) GO(0.47) PT_PRO1PL(0.45),KNOW,False
video_15_84_signer_KNOW_1,BYE HELLO GO NS_SKIP LOOK GREAT NS_POSSUM,BYE(0.84) HELLO(0.77) GO(0.75) NS_SKIP(0.70) LOOK(0.66) GREAT(0.65) NS_POSSUM(0.58),KNOW,False
video_16_15_signer_KNOW_1,YES RIGHT LOOK OKAY PT_PRO1PL SEE GO GREAT,YES(0.62) RIGHT(0.59) LOOK(0.59) OKAY(0.54) PT_PRO1PL(0.49) SEE(0.47) GO(0.46) GREAT(0.45),KNOW,False
video_16_37_signer_KNOW_1,SEE PT_PRO2 LOOK CAN PT_PRO3 PT_DEM3 PT_PRO1PL PT_POSS2,SEE(0.69) PT_PRO2(0.64) LOOK(0.63) CAN(0.61) PT_PRO3(0.60) PT_DEM3(0.47) PT_PRO1PL(0.47) PT_POSS2(0.46),KNOW,False
video_17_33_signer_KNOW_1,YES NS_POSSUM NO LOOK RIGHT GO PT_PRO2 GREAT KNOW,YES(0.73) NS_POSSUM(0.69) NO(0.65) LOOK(0.62) RIGHT(0.61) GO(0.59) PT_PRO2(0.54) GREAT(0.48) KNOW(0.47),KNOW,False
video_19_24_signer_KNOW_1,YES PT_PRO1PL GO KNOW RIGHT PT_PRO2 CAN SEE HAVE LOOK,YES(0.60) PT_PRO1PL(0.60) GO(0.58) KNOW(0.51) RIGHT(0.51) PT_PRO2(0.50) CAN(0.50) SEE(0.46) HAVE(0.46) LOOK(0.46),KNOW,False
video_19_65_signer_KNOW_1,BYE HELLO,BYE(0.98) HELLO(0.75),KNOW,False
video_19_82_signer_KNOW_1,RIGHT LOOK OKAY YES WATCH PT_PRO1PL BYE,RIGHT(0.70) LOOK(0.59) OKAY(0.57) YES(0.52) WATCH(0.52) PT_PRO1PL(0.50) BYE(0.48),KNOW,False
video_20_45_signer_KNOW_1,PT_DEM3 LOOK YES WHAT GREAT NS_POSSUM RIGHT,PT_DEM3(0.57) LOOK(0.56) YES(0.55) WHAT(0.54) GREAT(0.53) NS_POSSUM(0.47) RIGHT(0.46),KNOW,False
video_20_77_signer_KNOW_1,YES GO LOOK NO RIGHT OKAY GREAT NS_POSSUM KNOW,YES(0.73) GO(0.68) LOOK(0.67) NO(0.61) RIGHT(0.60) OKAY(0.59) GREAT(0.57) NS_POSSUM(0.50) KNOW(0.46),KNOW,False
