text	gloss
hello .	HELLO
look .	LOOK
look .	LOOK
i am sally .	PT_PRO1 NS_SALLY
i am possum .	PT_PRO1 POSSUM
hello .	HELLO
hello .	HELLO
hold on .	HOLD-ON
my fingers were stuck together .	PT_POSS1 FINGER STUCK-TOGETHER
i could not say hello properly .	PT_PRO1 CAN-NOT SAY HELLO PROPER
now they are nice and clean hello everyone .	NOW PT_PRO3PL NICE CLEAN HELLO EVERYONE
i am making some glue it is very sticky .	PT_PRO1 MAKE GLUE PT_DEM3 VERY STICKY
i am making this glue because i want to make a paper ball and i am going to use the glue to stick the paper together .	PT_PRO1 MAKE GLUE BECAUSE PT_PRO1 WANT MAKE PAPER BALL PT_PRO1 WILL USE GLUE STICK PAPER TOGETHER
i am sure possum would love to help make this ball .	PT_PRO1 SURE POSSUM LOVE-TO HELP MAKE BALL
i wonder if he is awake .	PT_PRO1 WONDER POSSUM AWAKE
i will go and see .	PT_PRO1 WILL-GO SEE
come on let us have a look .	COME-ON PT_PRO1PL LOOK
where is possum .	POSSUM WHERE
sally my door was so hard to open i do not know why .	NS_SALLY PT_POSS1 DOOR HARD OPEN PT_PRO1 NOT-KNOW WHY
was it stuck possum .	STUCK POSSUM
sally what does stuck mean .	NS_SALLY WHAT STUCK MEAN
it is like your door was so hard to open it was sticking .	LIKE PT_POSS2 DOOR HARD OPEN STICK
like this morning when i was making glue my fingers were sticking together .	LIKE MORNING NOW PT_PRO1 MAKE GLUE FINGER STICK TOGETHER
i could not open them because they were all sticky .	PT_PRO1 OPEN-NOT BECAUSE STICKY
that was because of the sticky glue .	STICKY GLUE BECAUSE
did you get glue on your door possum .	GLUE PT_POSS2 DOOR GET
i remember .	PT_PRO1 REMEMBER
last night i got into my comfy bed i got a jar of honey and i was eating it and i got it all over me and all over the tree house .	NIGHT-LAST PT_PRO1 BED COMFY GET JAR HONEY EAT COVER-ME TREE-HOUSE COVER
possum did you have a jar of honey and did not give me any .	NS_POSSUM JAR HONEY HAVE PT_PRO2 GIVE-NOT PT_PRO1
you know i love sticky honey .	PT_PRO2 KNOW PT_PRO1 STICKY HONEY LOVE
well .	WELL
well never mind .	WELL NEVER-MIND
inside i was making a paper ball do you want to come and help me .	INSIDE PAPER BALL MAKE PT_PRO1 PT_PRO2 COME HELP WANT
yeah i will help but how do you make the paper ball stick together .	YEAH PT_PRO1 HELP HOW PAPER BALL STICK TOGETHER MAKE
the glue that i was making was very sticky .	GLUE MAKE PT_PRO1 VERY STICKY
