id	gloss	text
1	YESTERDAY PT_PRO1 WALK FAST Q	Did I walk yesterday quickly?
2	TODAY PT_PRO3 NOT CALL DAD	They do not call my dad today.
3	NIGHT PT_PRO3 NOT SEE PHONE	They do not see my phone at night.
4	PT_PRO1 LISTEN MUSIC Q	Do I listen to music?
5	CHILD BUSY	The child is busy.
6	TOMORROW FRIEND MUST SEE CAR	My friend must see a car tomorrow.
7	WHEN STUDENT MEET COACH Q	When Does the student meet on the weekend?
8	NIGHT DOCTOR WAKE-UP	The doctor wakes up at night.
9	NEIGHBOUR WORK	The neighbour works.
10	HOW PT_PRO1 RUN Q	How Will I run next week?
11	NOW PT_PRO1 TEXT MUM OFTEN	I text my mum now often.
12	IF PT_PRO1 TRAIN THEN PT_PRO1 COLD	If I train, then I am cold last week.
13	WHO COACH MEET Q	Who Does the coach meet in the morning?
14	NEXT-WEEK FRIEND NOT CLEAN	My friend will not clean next week.
15	WEEKEND PT_PRO3 READ SHOES	They read shoes on the weekend.
16	YESTERDAY PT_PRO1 STUDY Q	Did I study yesterday?
17	NIGHT PT_PRO3 HELP FRIEND SLOW	They help my friend at night slowly.
18	TOMORROW PT_PRO3 CAN WATCH MOVIE	They can watch a movie tomorrow.
19	NIGHT NEIGHBOUR TRAIN Q	Does the neighbour train at night?
20	TOMORROW PT_PRO2 WATCH MUSIC Q	Will you watch music tomorrow?
21	NOW PT_PRO3 CAN WORK	They can work now.
22	TODAY PT_PRO2 LISTEN MUSIC	You listen to music today.
23	PT_PRO3 BUY BAG FAST	They buy my bag quickly.
24	LAST-WEEK PT_PRO3 NOT RUN ALWAYS	They did not run last week always.
25	NOW PT_PRO3 MUST SEE CAR Q	They must see a car now?
26	NOW COACH WATCH PODCAST	The coach watches a podcast now.
27	WHERE PT_PRO2 GO Q	Where Do you go on the weekend?
28	AFTERNOON PT_PRO3 EAT FOOD OFTEN	They eat food in the afternoon often.
29	YESTERDAY PT_PRO2 NOT SLEEP	You did not sleep yesterday.
30	PT_PRO3 WANT NOT CALL TEACHER	They do not want to call my teacher.
31	WEEKEND PT_PRO2 WORK	You work on the weekend.
32	WHAT PT_PRO3 DRINK Q	What Do they drink in the afternoon?
33	NIGHT PT_PRO3 STUDY FAST	They study at night quickly.
34	AFTERNOON PT_PRO1 TEXT DAD Q	Do I text my dad in the afternoon?
35	MORNING PT_PRO2 SEE EMAIL	You see an email in the morning.
36	NIGHT PT_PRO3 NOT EAT PIZZA	They do not eat pizza at night.
37	YESTERDAY DOCTOR WAKE-UP	The doctor woke up yesterday.
38	AFTERNOON PT_PRO1 TRAIN Q	Do I train in the afternoon?
39	NIGHT PT_PRO2 STUDY	You study at night.
40	LAST-WEEK PT_PRO2 EAT APPLE	You ate an apple last week.
41	CHILD MUST SLEEP SOMETIMES	The child must sleep sometimes.
42	WEEKEND STUDENT WANT CALL FRIEND	The student wants to call my friend on the weekend.
43	NOW PT_PRO1 READ MESSAGE	I read a message now.
44	MORNING PT_PRO1 LISTEN MUSIC	I listen to music in the morning.
45	AFTERNOON PT_PRO1 TIRED	I am tired in the afternoon.
46	MORNING PT_PRO1 NOT BUY EMAIL OFTEN	I do not buy an email in the morning often.
47	TODAY PT_PRO1 WATCH PODCAST RARELY	I watch a podcast today rarely.
48	MORNING PT_PRO1 NOT SLEEP	I do not sleep in the morning.
49	PT_PRO1 WANT NOT COOK	I do not want to cook.
50	NOW PT_PRO3 GO BEACH	They go to the beach now.
51	NIGHT PT_PRO1 NOT HELP MUM	I do not help my mum at night.
52	LAST-WEEK PT_PRO1 EMAIL NEIGHBOUR	I emailed my neighbour last week.
53	MORNING PT_PRO2 RUN	You run in the morning.
54	LAST-WEEK DOCTOR TEXT COACH FAST	The doctor texted my coach last week quickly.
55	YESTERDAY PT_PRO3 COOK Q	Did they cook yesterday?
56	WHY STUDENT TRAIN Q	Why Does the student train in the morning?
57	IF PT_PRO1 WALK THEN PT_PRO1 HAPPY	If I walk, then I am happy today.
58	NIGHT FRIEND READ CAR	My friend reads a car at night.
59	PT_PRO1 HELP FRIEND FAST Q	Do I help my friend quickly?
60	NEXT-WEEK PT_PRO2 NOT CLEAN	You will not clean next week.
61	WEEKEND PT_PRO1 NOT TRAIN	I do not train on the weekend.
62	WEEKEND PT_PRO2 CAN SEE EMAIL	You can see an email on the weekend.
63	TODAY PT_PRO1 DRINK JUICE	I drink juice today.
64	TOMORROW PT_PRO1 MEET FRIEND	I will meet my friend tomorrow.
65	LAST-WEEK PT_PRO1 GO SCHOOL	I went to school last week.
66	WHERE PT_PRO2 GO Q	Where Do you go in the afternoon?
67	WHO TEACHER TEXT Q	Who Will the teacher text next week?
68	NOW PT_PRO2 SEE CAR	You see a car now.
69	NOW TEACHER PRACTISE Q	Does the teacher practise now?
70	WHERE PT_PRO3 COME Q	Where Do they come now?
71	AFTERNOON WOMAN TRAIN	The woman trains in the afternoon.
72	HOW PT_PRO2 TRAIN Q	How Did you train last week?
73	AFTERNOON TEACHER NOT READ CAR	The teacher does not read a car in the afternoon.
74	TODAY PT_PRO2 TRAIN	You train today.
75	WHY COACH STUDY Q	Why Did the coach study last week?
76	WEEKEND PT_PRO1 DRINK COFFEE Q	Do I drink coffee on the weekend?
77	MORNING PT_PRO2 LISTEN MUSIC	You listen to music in the morning.
78	WHO PT_PRO3 CALL Q	Who Do they call on the weekend?
79	TOMORROW PT_PRO2 SICK	You will be sick tomorrow.
80	NEXT-WEEK PT_PRO2 WAKE-UP Q	Will you wake up next week?
81	AFTERNOON PT_PRO1 EAT PIZZA	I eat pizza in the afternoon.
82	AFTERNOON PT_PRO3 DRINK COFFEE	They drink coffee in the afternoon.
83	LAST-WEEK PT_PRO3 NOT PRACTISE SOMETIMES	They did not practise last week sometimes.
84	NOW PT_PRO3 WANT NOT GO PARK	They do not want to go to the park now.
85	NEXT-WEEK PT_PRO1 WANT MEET COACH	I want to meet my coach next week.
86	NOW PT_PRO3 TRAIN	They train now.
87	WEEKEND DOCTOR MUST TRAIN	The doctor must train on the weekend.
88	NIGHT PT_PRO3 CAN DRINK TEA Q	They can drink tea at night?
89	WEEKEND MAN CLEAN	The man cleans on the weekend.
90	WEEKEND PT_PRO2 RUN	You run on the weekend.
91	HOW STUDENT STUDY Q	How Does the student study in the morning?
92	NIGHT MAN SLEEP Q	Does the man sleep at night?
93	MORNING PT_PRO2 GO GYM Q	Do you go to the gym in the morning?
94	NEXT-WEEK PT_PRO1 HELP COACH	I will help my coach next week.
95	WEEKEND PT_PRO2 WANT NOT COME GYM	You do not want to come to the gym on the weekend.
96	MORNING PT_PRO3 CAN NOT WAKE-UP SOMETIMES	They cannot wake up in the morning sometimes.
97	MAN NOT PRACTISE	The man does not practise.
98	NIGHT PT_PRO3 GO HOME	They go to home at night.
99	TOMORROW MAN SLEEP Q	Will the man sleep tomorrow?
100	MORNING PT_PRO2 HELP COACH	You help my coach in the morning.
