clip,predicted_glosses,predicted_with_confidence,ground_truth
video_1_4,PT_PRO1 NS_POSSUM,PT_PRO1(1.00) NS_POSSUM(0.99),NS_POSSUM PT_PRO1
video_1_31,NS_POSSUM PT_PRO2 FUNNY YES PT_DEM3 GREAT LOOK IDEA PT_PRO3 HAVE SEE NO KNOW CAN,NS_POSSUM(0.70) PT_PRO2(0.65) FUNNY(0.63) YES(0.62) PT_DEM3(0.52) GREAT(0.49) LOOK(0.48) IDEA(0.47) PT_PRO3(0.43) HAVE(0.39) SEE(0.39) NO(0.39) KNOW(0.36) CAN(0.35),WELL
video_1_47,LOOK GREAT PT_DEM3 YES NOW NS_SALLY PLEASE PT_PRO1PL WHAT ONE RIGHT PT_LOC,LOOK(0.82) GREAT(0.67) PT_DEM3(0.66) YES(0.59) NOW(0.54) NS_SALLY(0.54) PLEASE(0.47) PT_PRO1PL(0.47) WHAT(0.44) ONE(0.39) RIGHT(0.37) PT_LOC(0.36),YES
video_2_4,PT_PRO1 NS_POSSUM,PT_PRO1(1.00) NS_POSSUM(0.99),NS_POSSUM PT_PRO1
video_2_8,HAVE THINK PT_PRO1 PT_PRO1PL VERY MANY DAY NOT LEARN CAN PT_PRO2 GOOD MAKE PT_DEM3 PT_PRO3 NS_POSSUM WONDERFUL,HAVE(0.74) THINK(0.71) PT_PRO1(0.59) PT_PRO1PL(0.56) VERY(0.55) MANY(0.55) DAY(0.51) NOT(0.50) LEARN(0.47) CAN(0.46) PT_PRO2(0.45) GOOD(0.45) MAKE(0.44) PT_DEM3(0.44) PT_PRO3(0.43) NS_POSSUM(0.42) WONDERFUL(0.38),FEEL HOT PT_PRO1 VERY
video_2_18,NS_SALLY HERE NS_POSSUM PT_PRO2 PT_POSS1 NOW PT_PRO1PL PT_DEM3 GO HAVE PT_PRO1 LOOK PT_LOC GREAT CAN PT_POSS2 NEED WHAT YES PT_PRO3 GET WHY TREE MAKE,NS_SALLY(0.63) HERE(0.62) NS_POSSUM(0.58) PT_PRO2(0.57) PT_POSS1(0.57) NOW(0.52) PT_PRO1PL(0.51) PT_DEM3(0.51) GO(0.50) HAVE(0.50) PT_PRO1(0.50) LOOK(0.49) PT_LOC(0.48) GREAT(0.47) CAN(0.46) PT_POSS2(0.46) NEED(0.45) WHAT(0.44) YES(0.42) PT_PRO3(0.41) GET(0.41) WHY(0.38) TREE(0.37) MAKE(0.35),DO NS_POSSUM PT_LOC WHAT
video_2_23,NS_POSSUM GO COME PT_PRO1 GREAT PT_PRO1PL NOW HERE PT_PRO2 WANT PT_DEM3 READY PT_POSS1 HAVE GARDEN LOOK NO FINISH YES GOOD PT_PRO3 NOT KNOW NS_AMANDA,NS_POSSUM(0.75) GO(0.72) COME(0.54) PT_PRO1(0.52) GREAT(0.51) PT_PRO1PL(0.50) NOW(0.50) HERE(0.49) PT_PRO2(0.48) WANT(0.47) PT_DEM3(0.47) READY(0.47) PT_POSS1(0.46) HAVE(0.42) GARDEN(0.40) LOOK(0.40) NO(0.40) FINISH(0.39) YES(0.38) GOOD(0.37) PT_PRO3(0.37) NOT(0.36) KNOW(0.35) NS_AMANDA(0.35),CAN-NOT DO NO PT_DEM3 PT_PRO2
video_2_27,HERE GO NOW NS_POSSUM LOOK HAVE TREE NEED PT_LOC CAN PT_PRO2 GET PT_PRO1PL ALL PT_DEM3 PT_PRO1 SHADOW PT_POSS1 NS_SALLY AROUND WHAT PT_POSS2 PUT BOX READY TWO DO BIG INSIDE GARDEN TAKE DRY SEE AND HOUSE WAIT ONE MANY MAKE GREAT BIKE THREE LONG,HERE(0.70) GO(0.67) NOW(0.62) NS_POSSUM(0.62) LOOK(0.61) HAVE(0.60) TREE(0.58) NEED(0.58) PT_LOC(0.57) CAN(0.56) PT_PRO2(0.56) GET(0.55) PT_PRO1PL(0.54) ALL(0.54) PT_DEM3(0.52) PT_PRO1(0.52) SHADOW(0.49) PT_POSS1(0.49) NS_SALLY(0.46) AROUND(0.45) WHAT(0.45) PT_POSS2(0.44) PUT(0.43) BOX(0.43) READY(0.42) TWO(0.42) DO(0.40) BIG(0.40) INSIDE(0.40) GARDEN(0.39) TAKE(0.38) DRY(0.38) SEE(0.38) AND(0.38) HOUSE(0.38) WAIT(0.37) ONE(0.37) MANY(0.37) MAKE(0.36) GREAT(0.35) BIKE(0.35) THREE(0.35) LONG(0.35),BUT CAN-NOT DO PT_PRO2 TODAY
video_2_105,PT_PRO1 GO CAN PT_POSS1 HAVE BUT KNOW NS_SALLY NEED GET NOW PT_PRO2 MAKE GARDEN THINK PUT PT_PRO1PL WANT WATER THEN PT_POSS2 PT_PRO3 PT_DEM3 AND SEE PLANT ALL THING PLAY NS_POSSUM LOOK INSIDE NOT VERY GOOD TREE OUTSIDE GROW DO PT_LOC WILL FINISH FOOT BIG WHAT,PT_PRO1(0.69) GO(0.66) CAN(0.65) PT_POSS1(0.62) HAVE(0.60) BUT(0.59) KNOW(0.59) NS_SALLY(0.58) NEED(0.57) GET(0.57) NOW(0.57) PT_PRO2(0.54) MAKE(0.53) GARDEN(0.53) THINK(0.53) PUT(0.52) PT_PRO1PL(0.52) WANT(0.50) WATER(0.50) THEN(0.49) PT_POSS2(0.48) PT_PRO3(0.48) PT_DEM3(0.48) AND(0.48) SEE(0.47) PLANT(0.47) ALL(0.45) THING(0.44) PLAY(0.44) NS_POSSUM(0.43) LOOK(0.43) INSIDE(0.43) NOT(0.43) VERY(0.42) GOOD(0.41) TREE(0.41) OUTSIDE(0.40) GROW(0.40) DO(0.40) PT_LOC(0.39) WILL(0.38) FINISH(0.38) FOOT(0.37) BIG(0.36) WHAT(0.36),DELICIOUS NOW
video_3_36,NS_POSSUM PT_PRO2 YES PT_DEM3 GREAT HAVE NOT MAKE NOW PT_PRO1 PT_PRO1PL CAN NEED WHAT GOOD VERY RIGHT PT_POSS1 NO FINISH PT_PRO3 WHERE LIKE WANT GO,NS_POSSUM(0.67) PT_PRO2(0.61) YES(0.58) PT_DEM3(0.56) GREAT(0.54) HAVE(0.52) NOT(0.51) MAKE(0.50) NOW(0.49) PT_PRO1(0.48) PT_PRO1PL(0.48) CAN(0.47) NEED(0.46) WHAT(0.45) GOOD(0.45) VERY(0.45) RIGHT(0.44) PT_POSS1(0.43) NO(0.42) FINISH(0.41) PT_PRO3(0.40) WHERE(0.39) LIKE(0.39) WANT(0.38) GO(0.38),NS_POSSUM THANK-YOU
